year,player,wins,losses,games_played,saves,hits,strikeouts,wild_pitches,runs_allowed,teams
1884,Charlie Morton,0,1,3,0,18,7,0,14,['Toledo Blue Stockings']
1890,Bob Miller,3,7,13,1,89,20,5,58,['Rochester Broncos']
1890,Cy Young,9,7,17,0,145,39,7,87,['Cleveland Spiders']
1891,Bob Miller,2,5,7,0,53,13,2,51,['Washington Statesmen']
1891,Clark Griffith,14,9,34,2,242,88,9,155,"['Boston Reds', 'St. Louis Browns']"
1891,Cy Young,27,22,55,2,431,147,12,244,['Cleveland Spiders']
1891,Jack Taylor,0,1,1,0,4,3,0,2,['New York Giants']
1892,Cy Young,36,12,53,0,363,168,13,158,['Cleveland Spiders']
1892,Jack Taylor,1,0,3,0,28,7,0,19,['Philadelphia Phillies']
1893,Clark Griffith,1,2,4,0,24,9,0,14,['Chicago Colts']
1893,Cy Young,33,16,53,2,442,102,14,230,['Cleveland Spiders']
1893,Jack Taylor,10,9,25,1,187,41,2,113,['Philadelphia Phillies']
1894,Clark Griffith,21,14,36,0,328,71,5,193,['Chicago Colts']
1894,Cy Young,26,21,52,1,488,108,4,265,['Cleveland Spiders']
1894,Jack Taylor,23,13,41,1,347,76,5,201,['Philadelphia Phillies']
1895,Clark Griffith,26,14,42,0,434,79,7,228,['Chicago Colts']
1895,Cy Young,35,10,47,0,363,121,6,177,['Cleveland Spiders']
1895,Jack Taylor,26,14,41,1,403,93,4,233,['Philadelphia Phillies']
1896,Clark Griffith,23,11,36,0,370,81,1,189,['Chicago Colts']
1896,Cy Young,28,15,51,3,477,140,10,214,['Cleveland Spiders']
1896,Jack Taylor,20,21,45,1,459,97,3,282,['Philadelphia Phillies']
1897,Clark Griffith,21,18,41,1,410,102,11,231,['Chicago Colts']
1897,Cy Young,21,19,46,0,391,88,14,189,['Cleveland Spiders']
1897,Jack Powell,15,10,27,0,245,61,3,117,['Cleveland Spiders']
1897,Jack Taylor,16,20,40,2,376,88,16,204,['Philadelphia Phillies']
1898,Bill Donovan,1,6,17,0,88,36,12,74,['Washington Senators']
1898,Clark Griffith,24,10,38,0,305,97,6,105,['Chicago Orphans']
1898,Cy Young,25,13,46,0,387,101,9,167,['Cleveland Spiders']
1898,Jack Powell,23,15,42,0,328,93,6,154,['Cleveland Spiders']
1898,Jack Taylor,20,29,55,1,497,100,8,271,"['Chicago Orphans', 'St. Louis Browns']"
1898,Nick Altrock,3,3,11,0,89,13,5,54,['Louisville Colonels']
1899,Bill Donovan,1,2,5,1,35,11,1,22,['Brooklyn Superbas']
1899,Clark Griffith,22,14,38,0,329,73,1,163,['Chicago Orphans']
1899,Cy Young,26,16,44,1,368,111,6,173,['St. Louis Perfectos']
1899,Jack Powell,23,19,48,0,433,87,3,197,['St. Louis Perfectos']
1899,Jack Taylor,27,31,66,2,587,102,4,333,"['Chicago Orphans', 'Cincinnati Reds']"
1900,Bill Donovan,1,2,5,0,36,13,1,23,['Brooklyn Superbas']
1900,Christy Mathewson,0,3,6,0,37,15,1,32,['New York Giants']
1900,Clark Griffith,14,13,30,0,245,61,5,126,['Chicago Orphans']
1900,Cy Young,20,18,41,0,337,115,7,144,['St. Louis Cardinals']
1900,Jack Powell,17,17,38,0,325,77,3,194,['St. Louis Cardinals']
1900,Jack Taylor,10,17,28,1,226,57,4,130,['Chicago Orphans']
1900,Tom Hughes,1,1,3,0,31,12,0,14,['Chicago Orphans']
1901,Bill Donovan,25,15,45,3,324,226,10,151,['Brooklyn Superbas']
1901,Christy Mathewson,20,17,40,0,288,221,23,131,['New York Giants']
1901,Clark Griffith,24,7,35,1,275,67,2,114,['Chicago White Sox']
1901,Cy Young,33,10,43,0,324,158,2,112,['Boston Americans']
1901,Eddie Plank,17,13,33,0,254,90,13,133,['Philadelphia Athletics']
1901,Jack Powell,19,19,45,3,351,133,6,168,['St. Louis Cardinals']
1901,Jack Taylor,13,19,33,0,341,68,3,165,['Chicago Orphans']
1901,Tom Hughes,10,23,37,0,309,225,16,166,['Chicago Orphans']
1902,Bill Donovan,17,15,35,1,250,170,7,122,['Brooklyn Superbas']
1902,Christy Mathewson,14,17,35,0,246,164,17,118,['New York Giants']
1902,Clark Griffith,15,9,28,0,247,51,3,117,['Chicago White Sox']
1902,Cy Young,32,11,45,0,350,160,3,136,['Boston Americans']
1902,Eddie Plank,20,15,36,0,319,107,4,140,['Philadelphia Athletics']
1902,Jack Powell,22,17,42,2,320,137,7,144,['St. Louis Browns']
1902,Jack Taylor,23,11,37,1,273,88,10,86,['Chicago Orphans']
1902,Nick Altrock,0,2,3,1,19,5,0,13,['Boston Americans']
1902,Tom Hughes,10,8,22,0,171,60,8,88,"['Baltimore Orioles', 'Boston Americans']"
1903,Bill Donovan,17,16,35,0,247,187,7,104,['Detroit Tigers']
1903,Charles Bender,17,14,36,0,239,127,6,115,['Philadelphia Athletics']
1903,Christy Mathewson,30,13,45,2,321,267,18,136,['New York Giants']
1903,Clark Griffith,14,11,25,0,201,69,6,92,['New York Highlanders']
1903,Cy Young,28,9,40,2,294,176,5,115,['Boston Americans']
1903,Eddie Plank,23,16,43,0,317,176,8,128,['Philadelphia Athletics']
1903,Jack Powell,15,19,38,2,294,169,6,131,['St. Louis Browns']
1903,Jack Taylor,21,14,37,1,277,83,3,137,['Chicago Cubs']
1903,Nick Altrock,4,4,13,0,72,22,2,45,"['Boston Americans', 'Chicago White Sox']"
1903,Red Ames,2,0,2,0,5,14,0,2,['New York Giants']
1903,Tom Hughes,20,7,33,0,232,112,2,95,['Boston Americans']
1904,Bill Donovan,16,16,34,0,251,137,11,111,['Detroit Tigers']
1904,Charles Bender,10,11,29,0,167,149,5,90,['Philadelphia Athletics']
1904,Christy Mathewson,33,12,48,1,306,212,10,120,['New York Giants']
1904,Clark Griffith,7,5,16,0,91,36,4,40,['New York Highlanders']
1904,Cy Young,26,16,43,1,327,200,4,104,['Boston Americans']
1904,Ed Walsh,6,3,18,1,90,57,5,45,['Chicago White Sox']
1904,Eddie Plank,26,17,44,0,311,201,6,111,['Philadelphia Athletics']
1904,Frank Smith,16,9,26,0,157,107,12,62,['Chicago White Sox']
1904,Jack Powell,23,19,47,0,340,202,12,154,['New York Highlanders']
1904,Jack Taylor,20,19,41,1,297,103,6,133,['St. Louis Cardinals']
1904,Nick Altrock,19,14,38,1,274,87,7,117,['Chicago White Sox']
1904,Red Ames,4,6,16,3,94,93,6,44,['New York Giants']
1904,Tom Hughes,10,23,35,0,274,123,8,139,"['Washington Senators', 'New York Highlanders']"
1905,Bill Donovan,18,15,34,0,236,135,4,111,['Detroit Tigers']
1905,Charles Bender,18,11,35,0,193,142,12,103,['Philadelphia Athletics']
1905,Christy Mathewson,31,9,43,3,252,206,6,85,['New York Giants']
1905,Clark Griffith,9,6,25,1,82,46,3,30,['New York Highlanders']
1905,Cy Young,18,19,38,0,248,210,6,99,['Boston Americans']
1905,Ed Walsh,8,3,22,0,121,71,7,53,['Chicago White Sox']
1905,Eddie Plank,24,12,41,0,287,210,9,113,['Philadelphia Athletics']
1905,Frank Smith,19,13,39,0,215,171,13,97,['Chicago White Sox']
1905,Jack Powell,10,14,40,1,236,96,5,113,"['St. Louis Browns', 'New York Highlanders']"
1905,Jack Taylor,15,21,37,1,302,102,9,155,['St. Louis Cardinals']
1905,Nick Altrock,23,12,38,0,274,97,6,89,['Chicago White Sox']
1905,Red Ames,22,8,34,0,220,198,30,113,['New York Giants']
1905,Tom Hughes,17,20,39,0,239,149,6,113,['Washington Senators']
1906,Babe Adams,0,1,1,0,9,0,0,8,['St. Louis Cardinals']
1906,Bill Donovan,9,15,25,0,221,85,2,92,['Detroit Tigers']
1906,Charles Bender,15,10,36,3,208,159,3,98,['Philadelphia Athletics']
1906,Christy Mathewson,22,12,38,1,262,128,4,100,['New York Giants']
1906,Clark Griffith,2,2,17,2,58,16,3,30,['New York Highlanders']
1906,Cy Young,13,21,39,2,288,140,5,137,['Boston Americans']
1906,Ed Walsh,17,13,41,2,215,171,11,83,['Chicago White Sox']
1906,Eddie Plank,19,6,26,0,173,108,1,70,['Philadelphia Athletics']
1906,Frank Smith,5,5,20,1,124,53,5,58,['Chicago White Sox']
1906,Jack Powell,13,14,28,1,196,132,5,77,['St. Louis Browns']
1906,Jack Taylor,20,12,34,0,249,61,0,92,"['Chicago Cubs', 'St. Louis Cardinals']"
1906,Nick Altrock,20,13,38,0,269,99,5,95,['Chicago White Sox']
1906,Red Ames,12,10,31,1,166,156,7,79,['New York Giants']
1906,Tom Hughes,8,17,33,0,241,95,6,126,"['New York Highlanders', 'Washington Senators']"
1907,Babe Adams,0,2,4,0,40,11,1,25,['Pittsburgh Pirates']
1907,Bill Donovan,25,4,32,1,222,123,2,96,['Detroit Tigers']
1907,Charles Bender,16,8,33,3,185,112,5,67,['Philadelphia Athletics']
1907,Christy Mathewson,24,12,41,2,250,178,5,88,['New York Giants']
1907,Clark Griffith,0,0,4,0,15,5,0,16,['New York Highlanders']
1907,Cy Young,21,15,43,2,286,147,6,101,['Boston Americans']
1907,Ed Walsh,24,18,56,4,341,206,14,120,['Chicago White Sox']
1907,Eddie Plank,24,16,43,0,282,183,5,115,['Philadelphia Athletics']
1907,Frank Smith,23,10,41,0,280,139,12,105,['Chicago White Sox']
1907,Jack Powell,13,16,32,1,229,96,1,104,['St. Louis Browns']
1907,Jack Taylor,7,5,18,0,127,22,2,62,['Chicago Cubs']
1907,Nick Altrock,7,13,30,2,210,61,4,76,['Chicago White Sox']
1907,Red Ames,10,12,39,1,184,146,20,93,['New York Giants']
1907,Tom Hughes,9,14,38,4,222,112,6,114,"['New York Highlanders', 'Washington Senators']"
1907,Walter Johnson,5,9,14,0,100,71,4,35,['Washington Senators']
1908,Bill Donovan,18,7,29,0,210,141,3,78,['Detroit Tigers']
1908,Charles Bender,8,9,18,1,121,85,2,48,['Philadelphia Athletics']
1908,Christy Mathewson,37,11,56,5,281,259,2,85,['New York Giants']
1908,Cy Young,21,11,36,2,230,150,4,68,['Boston Red Sox']
1908,Ed Walsh,40,15,66,6,343,269,10,111,['Chicago White Sox']
1908,Eddie Plank,14,16,34,1,202,135,7,71,['Philadelphia Athletics']
1908,Frank Smith,16,17,41,1,213,129,7,92,['Chicago White Sox']
1908,Jack Powell,16,13,33,1,208,85,0,73,['St. Louis Browns']
1908,Nick Altrock,5,7,23,2,127,21,2,55,['Chicago White Sox']
1908,Red Ames,7,4,18,1,96,81,2,35,['New York Giants']
1908,Rube Marquard,0,1,1,0,6,2,1,5,['New York Giants']
1908,Tom Hughes,18,15,43,4,224,165,13,91,['Washington Senators']
1908,Walter Johnson,14,14,36,1,194,160,13,75,['Washington Senators']
1909,Babe Adams,12,3,25,2,88,65,1,25,['Pittsburgh Pirates']
1909,Bill Donovan,8,7,21,2,121,76,4,50,['Detroit Tigers']
1909,Charles Bender,18,8,34,1,196,161,5,68,['Philadelphia Athletics']
1909,Christy Mathewson,25,6,37,2,192,149,4,57,['New York Giants']
1909,Clark Griffith,0,1,1,0,11,3,0,8,['Cincinnati Reds']
1909,Cy Young,19,15,35,0,267,109,6,110,['Cleveland Naps']
1909,Ed Walsh,15,11,31,2,166,127,4,52,['Chicago White Sox']
1909,Eddie Plank,19,10,34,0,215,132,4,74,['Philadelphia Athletics']
1909,Frank Smith,25,17,51,1,278,177,6,104,['Chicago White Sox']
1909,Jack Powell,12,16,34,3,221,82,2,83,['St. Louis Browns']
1909,Jack Quinn,9,5,23,1,110,36,2,45,['New York Highlanders']
1909,Nick Altrock,1,4,10,0,71,11,0,29,"['Chicago White Sox', 'Washington Senators']"
1909,Red Ames,15,10,34,1,217,156,13,109,['New York Giants']
1909,Rube Marquard,5,13,29,1,155,109,8,81,['New York Giants']
1909,Tom Hughes,11,15,46,3,222,146,4,98,"['New York Highlanders', 'Washington Senators']"
1909,Walter Johnson,13,25,40,1,247,164,12,112,['Washington Senators']
1910,Babe Adams,18,9,34,0,217,101,1,95,['Pittsburgh Pirates']
1910,Bill Donovan,17,7,26,0,184,107,2,74,['Detroit Tigers']
1910,Charles Bender,23,5,30,0,182,155,7,63,['Philadelphia Athletics']
1910,Christy Mathewson,27,9,38,0,292,184,8,100,['New York Giants']
1910,Cy Young,7,10,21,0,149,58,7,62,['Cleveland Naps']
1910,Ed Walsh,18,20,45,5,242,258,6,87,['Chicago White Sox']
1910,Eddie Plank,16,10,38,2,218,123,5,89,['Philadelphia Athletics']
1910,Frank Smith,5,11,23,0,113,58,1,62,"['Chicago White Sox', 'Boston Red Sox']"
1910,Jack Powell,7,11,21,0,121,52,1,45,['St. Louis Browns']
1910,Jack Quinn,18,12,35,0,214,82,4,88,['New York Highlanders']
1910,Red Ames,12,11,33,0,161,94,9,78,['New York Giants']
1910,Rube Marquard,4,4,13,0,65,52,4,35,['New York Giants']
1910,Tom Hughes,7,9,23,1,153,64,5,77,['New York Highlanders']
1910,Walter Johnson,25,17,45,1,262,313,21,92,['Washington Senators']
1911,Babe Adams,22,12,40,0,253,133,3,97,['Pittsburgh Pirates']
1911,Bill Donovan,10,9,20,0,160,81,3,83,['Detroit Tigers']
1911,Charles Bender,17,5,31,3,198,114,4,66,['Philadelphia Athletics']
1911,Christy Mathewson,26,13,45,3,303,141,2,102,['New York Giants']
1911,Clarence Mitchell,1,0,5,0,20,4,0,13,['Detroit Tigers']
1911,Cy Young,7,9,18,0,137,55,6,75,"['Cleveland Naps', 'Boston Rustlers']"
1911,Ed Walsh,27,18,56,4,327,255,8,125,['Chicago White Sox']
1911,Eddie Plank,23,8,40,4,237,149,5,85,['Philadelphia Athletics']
1911,Frank Smith,10,14,35,1,204,68,4,116,"['Boston Red Sox', 'Cincinnati Reds']"
1911,Jack Powell,8,19,31,1,224,52,2,120,['St. Louis Browns']
1911,Jack Quinn,8,10,40,2,203,71,2,111,['New York Highlanders']
1911,Pete Alexander,28,13,48,3,285,227,4,133,['Philadelphia Phillies']
1911,Red Ames,11,10,34,2,170,118,8,80,['New York Giants']
1911,Rube Marquard,24,7,45,3,221,237,10,98,['New York Giants']
1911,Tom Hughes,11,17,34,0,251,86,7,128,['Washington Senators']
1911,Walter Johnson,25,13,40,1,292,207,17,119,['Washington Senators']
1912,Babe Adams,11,8,28,0,169,63,0,73,['Pittsburgh Pirates']
1912,Bill Doak,0,0,1,0,4,0,0,2,['Cincinnati Reds']
1912,Bill Donovan,1,0,3,0,5,6,0,2,['Detroit Tigers']
1912,Bullet Joe Bush,0,0,1,0,14,3,0,10,['Philadelphia Athletics']
1912,Charles Bender,13,8,27,2,169,90,2,63,['Philadelphia Athletics']
1912,Christy Mathewson,23,12,43,4,311,134,3,107,['New York Giants']
1912,Clark Griffith,0,0,1,0,1,0,0,1,['Washington Senators']
1912,Ed Walsh,27,17,62,10,332,254,10,125,['Chicago White Sox']
1912,Eddie Plank,26,6,37,2,234,110,5,90,['Philadelphia Athletics']
1912,Eppa Rixey,10,10,23,0,147,59,8,57,['Philadelphia Phillies']
1912,Frank Smith,1,1,7,0,34,5,1,25,['Cincinnati Reds']
1912,Herb Pennock,1,2,17,2,48,38,2,31,['Philadelphia Athletics']
1912,Jack Powell,9,17,32,0,248,67,5,117,['St. Louis Browns']
1912,Jack Quinn,5,7,18,0,139,47,3,89,['New York Highlanders']
1912,Jim Bagby,2,1,5,0,17,10,0,6,['Cincinnati Reds']
1912,Nick Altrock,0,1,1,0,1,0,0,2,['Washington Senators']
1912,Pete Alexander,19,17,46,3,289,195,5,133,['Philadelphia Phillies']
1912,Red Ames,11,5,33,2,194,83,9,82,['New York Giants']
1912,Rube Marquard,26,11,43,1,286,175,8,112,['New York Giants']
1912,Tom Hughes,13,10,31,0,201,108,4,99,['Washington Senators']
1912,Walter Johnson,33,12,50,2,259,303,11,89,['Washington Senators']
1913,Babe Adams,21,10,43,0,271,144,5,94,['Pittsburgh Pirates']
1913,Bill Doak,2,8,15,1,79,51,4,42,['St. Louis Cardinals']
1913,Bob Smith,0,0,1,0,3,1,1,3,['Chicago White Sox']
1913,Bullet Joe Bush,15,6,39,3,199,81,8,97,['Philadelphia Athletics']
1913,Charles Bender,21,10,48,13,208,135,7,80,['Philadelphia Athletics']
1913,Christy Mathewson,25,11,40,2,291,93,3,94,['New York Giants']
1913,Clark Griffith,0,0,1,0,1,0,0,0,['Washington Senators']
1913,Dutch Leonard,14,17,42,1,245,144,6,108,['Boston Red Sox']
1913,Ed Walsh,8,3,16,1,91,34,7,37,['Chicago White Sox']
1913,Eddie Plank,18,10,41,4,211,151,4,84,['Philadelphia Athletics']
1913,Eppa Rixey,9,5,35,2,148,75,3,67,['Philadelphia Phillies']
1913,Herb Pennock,2,1,14,0,30,17,1,24,['Philadelphia Athletics']
1913,Jack Powell,0,0,2,0,1,0,0,3,['St. Louis Browns']
1913,Jack Quinn,4,3,8,0,55,33,1,22,['Boston Braves']
1913,Nick Altrock,0,0,4,0,7,2,0,5,['Washington Senators']
1913,Pete Alexander,22,8,47,2,288,159,3,106,['Philadelphia Phillies']
1913,Red Ames,13,14,39,3,220,110,12,93,"['New York Giants', 'Cincinnati Reds']"
1913,Rube Marquard,23,10,42,3,248,151,3,100,['New York Giants']
1913,Tom Hughes,4,12,36,6,129,59,6,81,['Washington Senators']
1913,Walter Johnson,36,7,48,2,232,243,3,56,['Washington Senators']
1914,Babe Adams,13,16,40,1,253,91,2,97,['Pittsburgh Pirates']
1914,Bill Doak,19,6,36,1,193,118,7,79,['St. Louis Cardinals']
1914,Bob Smith,0,0,15,3,39,13,1,16,['Buffalo Buffeds']
1914,Bullet Joe Bush,16,12,38,3,184,109,3,84,['Philadelphia Athletics']
1914,Charles Bender,17,3,28,2,159,107,3,49,['Philadelphia Athletics']
1914,Christy Mathewson,24,13,41,2,314,80,7,133,['New York Giants']
1914,Clark Griffith,0,0,1,1,1,1,0,0,['Washington Senators']
1914,Dolf Luque,0,1,2,0,5,1,1,5,['Boston Braves']
1914,Dutch Leonard,19,5,36,3,139,176,2,34,['Boston Red Sox']
1914,Ed Walsh,2,3,8,0,33,15,1,19,['Chicago White Sox']
1914,Eddie Plank,15,7,34,3,178,110,4,68,['Philadelphia Athletics']
1914,Eppa Rixey,2,11,24,0,124,41,7,73,['Philadelphia Phillies']
1914,Frank Smith,10,8,39,2,180,83,5,86,['Baltimore Terrapins']
1914,Herb Pennock,11,4,28,3,136,90,8,56,['Philadelphia Athletics']
1914,Jack Quinn,26,14,46,1,335,164,6,129,['Baltimore Terrapins']
1914,Nick Altrock,0,0,1,0,3,0,0,0,['Washington Senators']
1914,Pete Alexander,27,15,46,1,327,214,1,133,['Philadelphia Phillies']
1914,Red Ames,15,23,47,6,274,128,12,125,['Cincinnati Reds']
1914,Red Faber,10,9,40,4,154,88,8,77,['Chicago White Sox']
1914,Rube Marquard,12,22,39,2,261,92,12,117,['New York Giants']
1914,Sad Sam Jones,0,0,1,0,2,0,0,1,['Cleveland Naps']
1914,Tom Hughes,2,0,2,0,14,11,2,7,['Boston Braves']
1914,Walter Johnson,28,18,51,1,287,225,14,88,['Washington Senators']
1915,Babe Adams,14,14,40,2,229,62,2,90,['Pittsburgh Pirates']
1915,Bill Doak,16,18,38,1,263,124,2,103,['St. Louis Cardinals']
1915,Bill Donovan,0,3,9,0,35,17,0,18,['New York Yankees']
1915,Bob Smith,0,0,1,0,1,0,0,2,['Buffalo Blues']
1915,Bullet Joe Bush,5,15,25,0,137,89,10,86,['Philadelphia Athletics']
1915,Charles Bender,4,16,26,1,198,89,3,103,['Baltimore Terrapins']
1915,Christy Mathewson,8,14,27,0,199,57,1,97,['New York Giants']
1915,Dazzy Vance,0,4,9,0,26,18,1,17,"['New York Yankees', 'Pittsburgh Pirates']"
1915,Dolf Luque,0,0,2,0,6,3,1,3,['Boston Braves']
1915,Dutch Leonard,15,7,32,0,130,116,2,57,['Boston Red Sox']
1915,Ed Walsh,3,0,3,0,19,12,0,4,['Chicago White Sox']
1915,Eddie Plank,21,11,42,3,212,147,4,75,['St. Louis Terriers']
1915,Eppa Rixey,11,12,29,1,163,88,8,67,['Philadelphia Phillies']
1915,Frank Smith,9,6,32,0,177,61,0,84,"['Baltimore Terrapins', 'Brooklyn Tip-Tops']"
1915,Herb Pennock,3,6,16,1,69,31,2,50,"['Boston Red Sox', 'Philadelphia Athletics']"
1915,Jack Quinn,9,22,44,1,289,118,5,137,['Baltimore Terrapins']
1915,Nick Altrock,0,0,1,1,7,2,0,4,['Washington Senators']
1915,Pete Alexander,31,10,49,3,253,241,2,86,['Philadelphia Phillies']
1915,Red Ames,11,7,32,2,175,74,5,74,"['St. Louis Cardinals', 'Cincinnati Reds']"
1915,Red Faber,24,14,50,2,264,182,4,118,['Chicago White Sox']
1915,Rube Marquard,11,10,33,3,207,92,6,102,"['New York Giants', 'Brooklyn Robins']"
1915,Sad Sam Jones,4,9,48,4,131,42,3,78,['Cleveland Indians']
1915,Tom Hughes,16,14,50,9,208,171,2,88,['Boston Braves']
1915,Walter Johnson,27,13,47,4,258,203,7,83,['Washington Senators']
1916,Babe Adams,2,9,16,0,91,22,1,51,['Pittsburgh Pirates']
1916,Bill Doak,12,8,29,0,177,82,1,76,['St. Louis Cardinals']
1916,Bill Donovan,0,0,1,0,1,0,0,0,['New York Yankees']
1916,Bullet Joe Bush,15,24,40,0,222,157,15,109,['Philadelphia Athletics']
1916,Burleigh Grimes,2,3,6,0,40,20,1,19,['Pittsburgh Pirates']
1916,Charles Bender,7,7,27,3,137,43,5,71,['Philadelphia Phillies']
1916,Christy Mathewson,4,4,13,2,74,19,1,35,"['New York Giants', 'Cincinnati Reds']"
1916,Clarence Mitchell,11,10,29,0,211,52,3,87,['Cincinnati Reds']
1916,Dutch Leonard,18,12,48,6,244,144,8,87,['Boston Red Sox']
1916,Ed Walsh,0,1,2,0,4,3,0,3,['Chicago White Sox']
1916,Eddie Plank,16,15,37,3,203,88,2,78,['St. Louis Browns']
1916,Eppa Rixey,22,10,38,0,239,134,13,91,['Philadelphia Phillies']
1916,Herb Pennock,0,2,9,1,23,12,1,11,['Boston Red Sox']
1916,Jim Bagby,16,16,48,5,253,88,7,109,['Cleveland Indians']
1916,Pete Alexander,33,12,48,3,323,167,3,90,['Philadelphia Phillies']
1916,Red Ames,11,16,45,8,225,98,9,100,['St. Louis Cardinals']
1916,Red Faber,17,9,35,1,167,87,0,67,['Chicago White Sox']
1916,Rube Marquard,13,6,36,5,169,107,3,54,['Brooklyn Robins']
1916,Sad Sam Jones,0,1,12,1,25,7,1,14,['Boston Red Sox']
1916,Tom Hughes,16,3,40,5,121,97,3,46,['Boston Braves']
1916,Walter Johnson,25,20,48,1,290,228,9,105,['Washington Senators']
1917,Bill Doak,16,20,44,2,257,111,2,123,['St. Louis Cardinals']
1917,Bullet Joe Bush,11,17,37,2,207,121,7,101,['Philadelphia Athletics']
1917,Burleigh Grimes,3,16,37,0,186,72,5,101,['Pittsburgh Pirates']
1917,Charles Bender,8,2,20,2,84,43,3,24,['Philadelphia Phillies']
1917,Clarence Mitchell,9,15,32,1,166,37,3,73,['Cincinnati Reds']
1917,Dutch Leonard,16,17,37,1,257,144,7,90,['Boston Red Sox']
1917,Ed Walsh,0,1,4,0,22,4,1,9,['Boston Braves']
1917,Eddie Plank,5,6,20,1,105,26,1,39,['St. Louis Browns']
1917,Eppa Rixey,16,21,39,1,249,121,6,102,['Philadelphia Phillies']
1917,Herb Pennock,5,5,24,1,90,35,0,42,['Boston Red Sox']
1917,Jim Bagby,23,13,49,7,277,83,2,90,['Cleveland Indians']
1917,Pete Alexander,30,13,45,0,336,200,2,107,['Philadelphia Phillies']
1917,Red Ames,15,10,43,3,189,62,5,75,['St. Louis Cardinals']
1917,Red Faber,16,13,41,3,224,84,1,92,['Chicago White Sox']
1917,Rube Marquard,19,12,37,0,200,117,4,84,['Brooklyn Robins']
1917,Sad Sam Jones,0,1,9,1,15,5,1,8,['Boston Red Sox']
1917,Tom Hughes,5,3,11,0,54,40,1,21,['Boston Braves']
1917,Walter Johnson,23,16,47,3,248,188,7,105,['Washington Senators']
1918,Babe Adams,1,1,3,0,15,6,0,4,['Pittsburgh Pirates']
1918,Bill Doak,9,15,31,1,191,74,2,76,['St. Louis Cardinals']
1918,Bill Donovan,1,0,2,0,5,1,0,1,['Detroit Tigers']
1918,Bullet Joe Bush,15,15,36,2,241,125,5,88,['Boston Red Sox']
1918,Burleigh Grimes,19,9,40,1,210,113,11,94,['Brooklyn Robins']
1918,Clarence Mitchell,0,1,1,0,4,0,0,4,['Brooklyn Robins']
1918,Dazzy Vance,0,0,2,0,9,0,0,5,['New York Yankees']
1918,Dolf Luque,6,3,12,0,84,26,4,44,['Cincinnati Reds']
1918,Dutch Leonard,8,6,16,0,119,47,7,51,['Boston Red Sox']
1918,Jack Quinn,5,1,6,0,38,22,1,13,['Chicago White Sox']
1918,Jesse Haines,0,0,1,0,5,2,0,1,['Cincinnati Reds']
1918,Jim Bagby,17,16,45,6,274,57,2,108,['Cleveland Indians']
1918,Nick Altrock,1,2,5,0,24,5,0,11,['Washington Senators']
1918,Pete Alexander,2,1,3,0,19,15,0,7,['Chicago Cubs']
1918,Red Ames,9,14,27,1,192,68,5,75,['St. Louis Cardinals']
1918,Red Faber,4,1,11,1,70,26,2,23,['Chicago White Sox']
1918,Rube Marquard,9,18,34,0,231,89,3,97,['Brooklyn Robins']
1918,Sad Sam Jones,16,5,24,0,151,44,6,66,['Boston Red Sox']
1918,Tom Hughes,0,2,3,0,17,9,0,10,['Boston Braves']
1918,Tom Zachary,2,0,2,0,9,1,0,5,['Philadelphia Athletics']
1918,Waite Hoyt,0,0,1,0,0,2,0,0,['New York Giants']
1918,Walter Johnson,23,13,39,3,241,162,8,71,['Washington Senators']
1919,Babe Adams,17,10,34,1,213,92,2,66,['Pittsburgh Pirates']
1919,Bill Doak,13,14,31,0,182,69,5,87,['St. Louis Cardinals']
1919,Bullet Joe Bush,0,0,3,0,11,3,1,5,['Boston Red Sox']
1919,Burleigh Grimes,10,11,25,0,179,82,7,97,['Brooklyn Robins']
1919,Clarence Mitchell,7,5,23,0,123,43,2,49,['Brooklyn Robins']
1919,Dolf Luque,10,3,30,3,89,40,0,35,['Cincinnati Reds']
1919,Dutch Leonard,14,13,29,0,212,102,4,89,['Detroit Tigers']
1919,Eppa Rixey,6,12,23,0,160,63,5,88,['Philadelphia Phillies']
1919,George Uhle,10,5,26,0,129,50,0,52,['Cleveland Indians']
1919,Herb Pennock,16,8,32,0,223,70,7,78,['Boston Red Sox']
1919,Jack Quinn,15,14,38,0,242,97,5,96,['New York Yankees']
1919,Jim Bagby,17,11,35,3,258,61,2,96,['Cleveland Indians']
1919,Nick Altrock,0,0,1,0,4,0,0,4,['Washington Senators']
1919,Pete Alexander,16,11,30,1,180,121,1,51,['Chicago Cubs']
1919,Red Ames,3,7,26,2,114,23,4,56,"['St. Louis Cardinals', 'Philadelphia Phillies']"
1919,Red Faber,11,9,25,0,185,45,2,92,['Chicago White Sox']
1919,Rube Marquard,3,3,8,0,54,29,3,17,['Brooklyn Robins']
1919,Sad Sam Jones,12,20,35,1,258,67,5,120,['Boston Red Sox']
1919,Tom Zachary,1,5,17,0,68,9,2,29,['Washington Senators']
1919,Waite Hoyt,4,6,13,0,99,28,1,42,['Boston Red Sox']
1919,Walter Johnson,20,14,39,2,235,147,4,73,['Washington Senators']
1920,Babe Adams,17,13,35,2,240,84,5,83,['Pittsburgh Pirates']
1920,Bill Doak,20,12,39,1,256,90,1,94,['St. Louis Cardinals']
1920,Bullet Joe Bush,15,15,35,1,287,88,4,138,['Boston Red Sox']
1920,Burleigh Grimes,23,11,40,2,271,131,9,101,['Brooklyn Robins']
1920,Clarence Mitchell,5,2,19,1,85,18,0,35,['Brooklyn Robins']
