year,player,wins,losses,games_played,saves,hits,strikeouts,wild_pitches,runs_allowed,teams
2009,A. J. Burnett,13,9,33,0,193,195,17,99,['New York Yankees']
2009,Adam Wainwright,19,8,34,0,216,212,7,75,['St. Louis Cardinals']
2009,Alan Embree,2,2,36,0,28,12,2,18,['Colorado Rockies']
2009,Andrew Miller,3,5,20,0,85,59,10,52,['Florida Marlins']
2009,Andy Pettitte,14,8,32,0,193,148,3,101,['New York Yankees']
2009,Anibal Sanchez,4,8,16,0,84,71,0,39,['Florida Marlins']
2009,Arthur Rhodes,1,1,66,0,37,48,1,16,['Cincinnati Reds']
2009,Bartolo Colon,3,6,12,0,69,38,1,42,['Chicago White Sox']
2009,Billy Wagner,1,1,17,0,8,26,1,5,"['Boston Red Sox', 'New York Mets']"
2009,Bronson Arroyo,15,13,33,0,214,127,1,101,['Cincinnati Reds']
2009,Bruce Chen,1,6,17,0,74,45,4,42,['Kansas City Royals']
2009,CC Sabathia,19,8,34,0,197,197,5,96,['New York Yankees']
2009,Chan Ho Park,3,3,45,0,84,73,2,43,['Philadelphia Phillies']
2009,Charlie Morton,5,9,18,0,102,62,4,49,['Pittsburgh Pirates']
2009,Darren Oliver,5,1,63,0,61,65,7,22,['Los Angeles Angels of Anaheim']
2009,David Weathers,4,6,68,1,53,37,1,29,"['Cincinnati Reds', 'Milwaukee Brewers']"
2009,Derek Lowe,15,10,34,0,232,111,4,109,['Atlanta Braves']
2009,Eddie Guardado,1,2,48,0,39,20,1,21,['Texas Rangers']
2009,Edwin Jackson,13,9,33,0,200,161,6,93,['Detroit Tigers']
2009,Ervin Santana,8,8,24,0,159,107,4,83,['Los Angeles Angels of Anaheim']
2009,Fernando Rodney,2,5,73,37,70,61,5,38,['Detroit Tigers']
2009,Francisco Rodriguez,3,6,70,35,51,73,1,34,['New York Mets']
2009,Ian Kennedy,0,0,1,0,0,1,0,0,['New York Yankees']
2009,Jamey Wright,3,5,65,0,73,60,7,51,['Kansas City Royals']
2009,Jamie Moyer,12,10,30,0,177,94,1,91,['Philadelphia Phillies']
2009,Jason Isringhausen,0,1,9,0,6,6,1,2,['Tampa Bay Rays']
2009,Jeff Suppan,7,12,30,0,200,80,12,106,['Milwaukee Brewers']
2009,Joe Nathan,2,2,70,47,42,89,4,16,['Minnesota Twins']
2009,John Smoltz,3,8,15,0,95,73,0,55,"['Boston Red Sox', 'St. Louis Cardinals']"
2009,Jon Lester,15,8,32,0,186,225,6,80,['Boston Red Sox']
2009,Julian Tavarez,3,7,42,1,34,32,2,27,['Washington Nationals']
