year,player,games_played,at_bats,runs,hits,doubles,triples,homeruns,strikeouts,teams
1919,Les Mann,120,444,46,109,14,12,4,43,"['Chicago Cubs', 'Boston Braves']"
1919,Max Carey,66,244,41,75,10,2,0,24,['Pittsburgh Pirates']
1919,Mike Gonzalez,58,158,18,30,6,0,0,9,['New York Giants']
1919,Muddy Ruel,79,233,18,56,6,0,0,26,['New York Yankees']
1919,Nick Altrock,1,0,0,0,0,0,0,0,['Washington Senators']
1919,Pete Alexander,30,70,6,12,1,0,0,18,['Chicago Cubs']
1919,Rabbit Maranville,131,480,44,128,18,10,5,23,['Boston Braves']
1919,Ray Schalk,131,394,57,111,9,3,0,25,['Chicago White Sox']
1919,Red Ames,26,23,0,6,1,0,0,8,"['St. Louis Cardinals', 'Philadelphia Phillies']"
1919,Red Faber,25,54,8,10,0,0,0,20,['Chicago White Sox']
1919,Roger Peckinpaugh,122,453,89,138,20,2,7,37,['New York Yankees']
1919,Rogers Hornsby,138,512,68,163,15,9,8,41,['St. Louis Cardinals']
1919,Rube Bressler,61,165,22,34,3,4,2,15,['Cincinnati Reds']
1919,Rube Marquard,8,23,1,6,2,0,0,3,['Brooklyn Robins']
1919,Sad Sam Jones,35,81,4,11,2,1,0,21,['Boston Red Sox']
1919,Sam Rice,141,557,80,179,23,9,3,26,['Washington Senators']
1919,Shano Collins,63,179,21,50,6,3,1,11,['Chicago White Sox']
1919,Sherry Magee,56,163,11,35,6,1,0,19,['Cincinnati Reds']
1919,Steve O'Neill,125,398,46,115,35,7,2,21,['Cleveland Indians']
1919,Stuffy McInnis,120,440,32,134,12,5,1,11,['Boston Red Sox']
1919,Terry Turner,38,127,7,24,3,0,0,9,['Philadelphia Athletics']
1919,Tom Daly,25,50,4,11,0,1,0,5,['Chicago Cubs']
1919,Tom Zachary,17,15,0,5,0,0,0,5,['Washington Senators']
1919,Tris Speaker,134,494,83,146,38,12,2,12,['Cleveland Indians']
1919,Ty Cobb,124,497,92,191,36,13,1,22,['Detroit Tigers']
1919,Val Picinich,80,212,18,58,12,3,3,43,['Washington Senators']
1919,Waite Hoyt,13,38,1,5,0,0,0,3,['Boston Red Sox']
1919,Wally Schang,113,330,43,101,16,3,0,42,['Boston Red Sox']
1919,Walter Johnson,56,125,13,24,1,3,1,17,['Washington Senators']
1919,Zack Wheat,137,536,70,159,23,11,5,27,['Brooklyn Robins']
1920,Amos Strunk,111,390,56,105,17,4,1,24,"['Chicago White Sox', 'Philadelphia Athletics']"
1920,Babe Adams,35,89,4,13,0,0,1,18,['Pittsburgh Pirates']
1920,Babe Ruth,142,457,158,172,36,9,54,80,['New York Yankees']
1920,Bill Doak,39,88,4,10,0,0,0,37,['St. Louis Cardinals']
1920,Bob Jones,81,265,35,66,6,3,1,13,['Detroit Tigers']
1920,Bob O'Farrell,94,270,29,67,11,4,3,23,['Chicago Cubs']
1920,Bullet Joe Bush,45,102,14,25,2,0,0,15,['Boston Red Sox']
1920,Burleigh Grimes,43,111,9,34,8,3,0,21,['Brooklyn Robins']
1920,Charlie Grimm,148,533,38,121,13,7,2,40,['Pittsburgh Pirates']
1920,Charlie Jamieson,108,370,69,118,17,7,1,26,['Cleveland Indians']
1920,Clarence Mitchell,55,107,9,25,2,2,0,9,['Brooklyn Robins']
1920,Cliff Lee,37,76,9,18,2,2,0,14,['Pittsburgh Pirates']
1920,Clyde Milan,126,506,70,163,22,5,3,12,['Washington Senators']
1920,Cy Perkins,148,492,40,128,24,6,5,35,['Philadelphia Athletics']
1920,Cy Williams,148,590,88,192,36,10,15,45,['Philadelphia Phillies']
1920,Dave Bancroft,150,613,102,183,36,9,0,44,"['New York Giants', 'Philadelphia Phillies']"
1920,Dolf Luque,37,64,6,17,3,0,0,7,['Cincinnati Reds']
1920,Donie Bush,141,506,85,133,18,5,1,32,['Detroit Tigers']
1920,Dutch Leonard,28,57,2,12,3,0,0,8,['Detroit Tigers']
1920,Earl Smith,194,615,65,185,28,9,4,34,"['New York Giants', 'St. Louis Browns']"
1920,Edd Roush,149,579,81,196,22,16,4,22,['Cincinnati Reds']
1920,Eddie Collins,153,602,117,224,38,13,3,19,['Chicago White Sox']
1920,Elmer Smith,129,456,82,144,37,10,12,35,['Cleveland Indians']
1920,Eppa Rixey,43,101,6,25,0,1,1,11,['Philadelphia Phillies']
1920,Frank Snyder,87,264,26,66,13,4,3,18,['New York Giants']
1920,Frankie Frisch,110,440,57,123,10,10,4,18,['New York Giants']
1920,Fred Merkle,92,330,33,94,20,4,3,32,['Chicago Cubs']
1920,George Burns,220,747,123,210,42,10,7,58,"['Cleveland Indians', 'New York Giants', 'Philadelphia Athletics']"
1920,George Kelly,155,590,69,157,22,11,11,92,['New York Giants']
1920,George McBride,13,41,6,9,1,0,0,3,['Washington Senators']
1920,George Smith,43,72,5,7,0,0,0,26,['Philadelphia Phillies']
1920,George Uhle,27,32,4,11,0,0,0,2,['Cleveland Indians']
1920,Glenn Myatt,70,196,14,49,8,3,0,22,['Philadelphia Athletics']
1920,Hank Gowdy,80,214,14,52,11,2,0,15,['Boston Braves']
1920,Harry Heilmann,145,543,66,168,28,5,9,32,['Detroit Tigers']
1920,Harry Hooper,139,536,91,167,30,17,7,27,['Boston Red Sox']
1920,Heinie Groh,145,550,86,164,28,12,0,29,['Cincinnati Reds']
1920,Herb Pennock,38,77,7,20,3,0,0,18,['Boston Red Sox']
1920,Ivey Wingo,108,364,32,96,11,5,2,13,['Cincinnati Reds']
1920,Jack Quinn,41,88,6,8,0,0,2,26,['New York Yankees']
1920,Jack Smith,91,313,53,104,22,5,1,23,['St. Louis Cardinals']
1920,Jesse Haines,48,108,6,19,5,0,1,26,['St. Louis Cardinals']
1920,Jim Bagby,49,131,17,33,7,3,1,17,['Cleveland Indians']
1920,Jimmy Austin,83,280,38,76,11,3,1,15,['St. Louis Browns']
1920,Jimmy Dykes,142,546,81,140,25,4,8,73,['Philadelphia Athletics']
1920,Joe Judge,126,493,103,164,19,15,5,34,['Washington Senators']
1920,Joe Schultz,99,320,38,84,5,5,0,11,['St. Louis Cardinals']
1920,John Sullivan,81,250,36,74,14,4,1,29,['Boston Braves']
1920,Ken Williams,141,521,90,160,34,13,10,26,['St. Louis Browns']
1920,Larry Gardner,154,597,72,185,31,11,3,25,['Cleveland Indians']
1920,Les Mann,115,424,48,117,7,8,3,42,['Boston Braves']
1920,Max Carey,130,485,74,140,18,4,1,31,['Pittsburgh Pirates']
1920,Mike Gonzalez,11,13,1,3,0,0,0,1,['New York Giants']
1920,Muddy Ruel,82,261,30,70,14,1,1,18,['New York Yankees']
1920,Pete Alexander,46,118,9,27,4,1,1,26,['Chicago Cubs']
1920,Pie Traynor,17,52,6,11,3,1,0,6,['Pittsburgh Pirates']
1920,Rabbit Maranville,134,493,48,131,19,15,1,24,['Boston Braves']
1920,Ray Schalk,151,485,64,131,25,5,1,19,['Chicago White Sox']
1920,Red Faber,40,104,10,11,1,0,0,39,['Chicago White Sox']
1920,Roger Peckinpaugh,139,534,109,144,26,6,8,47,['New York Yankees']
1920,Rogers Hornsby,149,589,96,218,44,20,9,50,['St. Louis Cardinals']
1920,Rube Bressler,21,30,4,8,1,0,0,4,['Cincinnati Reds']
1920,Rube Marquard,28,59,2,10,1,0,0,12,['Brooklyn Robins']
1920,Sad Sam Jones,44,92,12,20,3,1,0,27,['Boston Red Sox']
1920,Sam Rice,153,624,83,211,29,9,3,23,['Washington Senators']
1920,Shano Collins,133,495,70,150,21,10,1,24,['Chicago White Sox']
1920,Steve O'Neill,149,489,63,157,39,5,3,39,['Cleveland Indians']
1920,Stuffy McInnis,148,559,50,166,21,3,2,19,['Boston Red Sox']
1920,Tom Daly,44,90,12,28,6,0,0,6,['Chicago Cubs']
1920,Tom Zachary,51,111,7,29,6,1,0,27,['Washington Senators']
1920,Tris Speaker,150,552,137,214,50,11,8,13,['Cleveland Indians']
1920,Ty Cobb,112,428,86,143,28,8,2,28,['Detroit Tigers']
1920,Val Picinich,48,133,14,27,6,2,3,33,['Washington Senators']
1920,Waite Hoyt,22,43,3,5,0,1,0,11,['Boston Red Sox']
1920,Wally Schang,122,387,58,118,30,7,4,37,['Boston Red Sox']
1920,Walter Johnson,33,64,6,17,1,3,1,10,['Washington Senators']
1920,Zack Taylor,9,13,3,5,2,0,0,2,['Brooklyn Robins']
1920,Zack Wheat,148,583,89,191,26,13,9,21,['Brooklyn Robins']
1921,Amos Strunk,121,401,68,133,19,10,3,27,['Chicago White Sox']
1921,Babe Adams,25,63,7,16,2,4,0,7,['Pittsburgh Pirates']
1921,Babe Ruth,152,540,177,204,44,16,59,81,['New York Yankees']
1921,Bill Doak,32,70,4,10,2,1,0,28,['St. Louis Cardinals']
1921,Bing Miller,114,420,57,121,28,8,9,50,['Washington Senators']
1921,Bob Jones,141,554,82,168,23,9,1,24,['Detroit Tigers']
1921,Bob O'Farrell,96,260,32,65,12,7,4,14,['Chicago Cubs']
1921,Bullet Joe Bush,50,120,19,39,5,4,0,14,['Boston Red Sox']
1921,Burleigh Grimes,37,114,10,27,6,0,1,16,['Brooklyn Robins']
1921,Charlie Grimm,151,562,62,154,21,17,7,38,['Pittsburgh Pirates']
1921,Charlie Jamieson,140,536,94,166,33,10,1,27,['Cleveland Indians']
1921,Clarence Mitchell,46,91,11,24,5,0,0,7,['Brooklyn Robins']
1921,Cliff Lee,88,286,31,88,14,4,4,34,['Philadelphia Phillies']
1921,Clyde Milan,113,406,55,117,19,11,1,13,['Washington Senators']
1921,Cy Perkins,141,538,58,155,31,4,12,32,['Philadelphia Athletics']
1921,Cy Williams,146,562,67,180,28,6,18,32,['Philadelphia Phillies']
1921,Dave Bancroft,153,606,121,193,26,15,6,23,['New York Giants']
1921,Dolf Luque,42,111,7,30,7,1,0,9,['Cincinnati Reds']
1921,Donie Bush,127,486,87,131,7,5,0,27,"['Detroit Tigers', 'Washington Senators']"
1921,Dutch Leonard,36,82,6,14,1,0,0,13,['Detroit Tigers']
1921,Earl Smith,173,487,62,142,17,8,14,31,"['New York Giants', 'St. Louis Browns', 'Washington Senators']"
1921,Edd Roush,112,418,68,147,27,12,4,8,['Cincinnati Reds']
1921,Eddie Collins,139,526,79,177,20,10,2,11,['Chicago White Sox']
1921,Elmer Smith,129,431,98,125,28,9,16,46,['Cleveland Indians']
1921,Eppa Rixey,40,101,7,13,1,0,0,11,['Cincinnati Reds']
1921,Ernie Johnson,142,613,93,181,28,7,1,24,['Chicago White Sox']
1921,Frank Snyder,108,309,36,99,13,2,8,24,['New York Giants']
1921,Frankie Frisch,153,618,121,211,31,17,8,28,['New York Giants']
1921,George Burns,233,849,163,269,49,13,4,43,"['New York Giants', 'Cleveland Indians']"
1921,George Kelly,149,587,95,181,42,9,23,73,['New York Giants']
1921,George Smith,39,71,1,4,1,0,0,29,['Philadelphia Phillies']
1921,George Uhle,48,94,21,23,2,3,1,9,['Cleveland Indians']
1921,Glenn Myatt,44,69,6,14,2,0,0,7,['Philadelphia Athletics']
1921,Goose Goslin,14,50,8,13,1,1,1,5,['Washington Senators']
1921,Hank Gowdy,64,164,17,49,7,2,2,11,['Boston Braves']
1921,Harry Heilmann,149,602,114,237,43,14,19,37,['Detroit Tigers']
1921,Harry Hooper,108,419,74,137,26,5,8,21,['Chicago White Sox']
1921,Heinie Groh,97,357,54,118,19,6,0,17,['Cincinnati Reds']
1921,Herb Pennock,32,85,9,18,8,0,1,10,['Boston Red Sox']
1921,Ivey Wingo,97,295,20,79,7,6,3,14,['Cincinnati Reds']
1921,Jack Quinn,33,41,4,9,2,0,1,9,['New York Yankees']
1921,Jack Smith,116,411,86,135,22,9,7,24,['St. Louis Cardinals']
1921,Jesse Haines,39,94,9,17,1,0,0,23,['St. Louis Cardinals']
1921,Jim Bagby,41,76,8,15,7,1,0,8,['Cleveland Indians']
1921,Jimmy Austin,27,66,8,18,2,1,0,7,['St. Louis Browns']
1921,Jimmy Dykes,155,613,88,168,32,13,16,75,['Philadelphia Athletics']
1921,Joe Judge,153,622,87,187,26,11,7,35,['Washington Senators']
1921,Joe Schultz,92,275,37,85,20,3,6,11,['St. Louis Cardinals']
1921,John Sullivan,81,245,28,79,14,4,4,26,"['Chicago Cubs', 'Boston Braves']"
1921,Johnny Cooney,8,5,0,1,0,0,0,1,['Boston Braves']
1921,Ken Williams,146,547,115,190,31,7,24,42,['St. Louis Browns']
1921,Kiki Cuyler,1,3,0,0,0,0,0,1,['Pittsburgh Pirates']
1921,Larry Gardner,153,586,101,187,32,14,3,16,['Cleveland Indians']
1921,Les Mann,97,256,57,84,12,7,7,28,['St. Louis Cardinals']
1921,Luke Sewell,3,6,0,0,0,0,0,3,['Cleveland Indians']
1921,Max Carey,140,521,85,161,34,4,7,30,['Pittsburgh Pirates']
1921,Mike Gonzalez,13,24,3,9,1,0,0,0,['New York Giants']
1921,Muddy Ruel,113,358,41,99,21,1,1,15,['Boston Red Sox']
1921,Pete Alexander,31,95,8,29,3,1,1,13,['Chicago Cubs']
1921,Pie Traynor,7,19,0,5,0,0,0,2,['Pittsburgh Pirates']
1921,Rabbit Maranville,153,612,90,180,25,12,1,38,['Pittsburgh Pirates']
1921,Ray Schalk,128,416,32,105,24,4,0,36,['Chicago White Sox']
1921,Red Faber,43,108,8,16,0,0,0,35,['Chicago White Sox']
1921,Roger Peckinpaugh,149,577,128,166,25,7,8,44,['New York Yankees']
1921,Rogers Hornsby,154,592,131,235,44,18,21,48,['St. Louis Cardinals']
1921,Rube Bressler,109,323,41,99,18,6,1,20,['Cincinnati Reds']
1921,Rube Marquard,39,95,3,19,3,0,0,16,['Cincinnati Reds']
1921,Sad Sam Jones,43,100,11,24,3,1,2,25,['Boston Red Sox']
1921,Sam Rice,143,561,83,185,39,13,4,10,['Washington Senators']
1921,Shano Collins,141,542,63,155,29,12,4,38,['Boston Red Sox']
1921,Steve O'Neill,106,335,39,108,22,1,1,22,['Cleveland Indians']
1921,Stuffy McInnis,152,584,72,179,31,10,0,9,['Boston Red Sox']
1921,Tom Daly,51,143,12,34,7,1,0,8,['Chicago Cubs']
1921,Tom Zachary,39,90,9,23,1,4,0,23,['Washington Senators']
1921,Tris Speaker,132,506,107,183,52,14,3,12,['Cleveland Indians']
1921,Ty Cobb,128,507,124,197,37,16,12,19,['Detroit Tigers']
1921,Val Picinich,45,141,10,39,9,0,0,21,['Washington Senators']
1921,Waite Hoyt,43,99,8,22,1,1,0,17,['New York Yankees']
1921,Wally Schang,134,424,77,134,30,5,6,35,['New York Yankees']
1921,Walter Johnson,38,111,10,30,7,0,0,14,['Washington Senators']
1921,Zack Taylor,30,102,6,20,0,2,0,8,['Brooklyn Robins']
1921,Zack Wheat,148,568,91,182,31,10,14,19,['Brooklyn Robins']
1922,Amos Strunk,92,311,36,90,11,4,0,28,['Chicago White Sox']
1922,Babe Adams,27,56,6,16,2,0,1,7,['Pittsburgh Pirates']
1922,Babe Ruth,110,406,94,128,24,8,35,80,['New York Yankees']
1922,Bill Doak,37,54,2,7,0,0,0,20,['St. Louis Cardinals']
1922,Bing Miller,143,535,90,179,29,12,21,42,['Philadelphia Athletics']
1922,Bob Jones,124,455,65,117,10,6,3,18,['Detroit Tigers']
1922,Bob O'Farrell,128,392,68,127,18,8,4,34,['Chicago Cubs']
1922,Bullet Joe Bush,39,95,15,31,6,2,0,11,['New York Yankees']
1922,Burleigh Grimes,36,93,15,22,3,1,0,15,['Brooklyn Robins']
1922,Charlie Grimm,154,593,64,173,28,13,0,15,['Pittsburgh Pirates']
1922,Charlie Jamieson,145,567,87,183,29,11,3,22,['Cleveland Indians']
1922,Clarence Mitchell,56,155,21,45,6,3,3,6,['Brooklyn Robins']
1922,Cliff Lee,122,422,65,136,29,6,17,43,['Philadelphia Phillies']
1922,Clyde Milan,42,74,8,17,5,0,0,2,['Washington Senators']
1922,Cozy Dolan,1,0,0,0,0,0,0,0,['New York Giants']
1922,Cy Perkins,148,505,58,135,20,6,6,30,['Philadelphia Athletics']
1922,Cy Williams,151,584,98,180,30,6,26,49,['Philadelphia Phillies']
1922,Dave Bancroft,156,651,117,209,41,5,4,27,['New York Giants']
1922,Dazzy Vance,36,89,9,20,3,0,0,25,['Brooklyn Robins']
1922,Dolf Luque,39,86,9,18,5,0,0,18,['Cincinnati Reds']
1922,Donie Bush,41,134,17,32,4,1,0,7,['Washington Senators']
1922,Earl Smith,155,439,51,118,23,6,10,29,"['New York Giants', 'Washington Senators']"
1922,Edd Roush,49,165,29,58,7,4,1,5,['Cincinnati Reds']
1922,Eddie Collins,154,598,92,194,20,12,1,16,['Chicago White Sox']
1922,Elmer Smith,94,258,44,71,13,6,7,26,"['Boston Red Sox', 'New York Yankees']"
1922,Eppa Rixey,40,109,8,21,3,0,0,15,['Cincinnati Reds']
1922,Ernie Johnson,144,603,85,153,17,3,0,30,['Chicago White Sox']
1922,Frank Snyder,104,318,34,109,21,5,5,25,['New York Giants']
1922,Frankie Frisch,132,514,101,168,16,13,5,13,['New York Giants']
1922,Gabby Hartnett,31,72,4,14,1,1,0,8,['Chicago Cubs']
1922,George Burns,303,1189,175,351,52,15,13,66,"['Boston Red Sox', 'Cincinnati Reds']"
1922,George Kelly,151,592,96,194,33,8,17,65,['New York Giants']
1922,George Smith,42,66,1,5,0,0,0,24,['Philadelphia Phillies']
1922,George Uhle,56,109,21,29,8,2,0,6,['Cleveland Indians']
1922,Goose Goslin,101,358,44,116,19,7,3,26,['Washington Senators']
1922,Hank Gowdy,92,221,23,70,11,1,1,13,['Boston Braves']
1922,Harry Heilmann,118,455,92,162,27,10,21,28,['Detroit Tigers']
1922,Harry Hooper,152,602,111,183,35,8,11,33,['Chicago White Sox']
1922,Heinie Groh,115,426,63,113,21,3,3,21,['New York Giants']
1922,Herb Pennock,32,65,5,9,1,1,0,9,['Boston Red Sox']
1922,Ivey Wingo,80,260,24,74,13,3,3,11,['Cincinnati Reds']
1922,Jack Quinn,40,91,5,9,3,0,1,28,['Boston Red Sox']
1922,Jack Smith,143,510,117,158,23,12,8,30,['St. Louis Cardinals']
1922,Jesse Haines,30,72,6,12,1,1,0,16,['St. Louis Cardinals']
1922,Jim Bagby,25,42,4,11,6,0,0,3,['Cleveland Indians']
1922,Jim Bottomley,37,151,29,49,8,5,5,13,['St. Louis Cardinals']
1922,Jimmy Austin,15,31,6,9,3,1,0,2,['St. Louis Browns']
1922,Jimmy Dykes,145,501,66,138,23,7,12,98,['Philadelphia Athletics']
1922,Joe Judge,148,591,84,174,32,15,10,20,['Washington Senators']
1922,Joe Schultz,112,344,50,108,13,4,2,10,['St. Louis Cardinals']
1922,Johnny Cooney,4,8,0,0,0,0,0,1,['Boston Braves']
