year,player,games_played,at_bats,runs,hits,doubles,triples,homeruns,strikeouts,teams
1871,Cap Anson,25,120,29,39,11,3,0,1,['Rockford Forest Citys']
1871,Deacon White,29,146,40,47,6,5,1,1,['Cleveland Forest Citys']
1871,Ezra Sutton,29,128,35,45,3,7,3,0,['Cleveland Forest Citys']
1871,George Wright,16,80,33,33,7,5,0,1,['Boston Red Stockings']
1871,Joe Start,33,161,35,58,5,1,1,0,['New York Mutuals']
1871,Tom Carey,19,87,16,20,2,0,0,1,['Fort Wayne Kekiongas']
1872,Cap Anson,46,217,60,90,10,7,0,3,['Philadelphia Athletics']
1872,Deacon White,22,109,21,37,2,2,0,1,['Cleveland Forest Citys']
1872,Ezra Sutton,22,107,30,30,6,1,0,1,['Cleveland Forest Citys']
1872,George Wright,48,255,87,86,16,6,2,1,['Boston Red Stockings']
1872,Jack Burdock,37,174,27,47,3,0,0,1,['Brooklyn Atlantics']
1872,Jim O'Rourke,23,99,25,27,5,0,0,0,['Middletown Mansfields']
1872,Joe Start,54,277,60,75,5,0,0,0,['New York Mutuals']
1872,Paul Hines,11,49,9,11,1,0,0,0,['Washington Nationals']
1872,Tom Carey,42,196,42,57,7,0,2,2,['Baltimore Canaries']
1873,Cap Anson,52,254,53,101,9,2,0,2,['Philadelphia Athletics']
1873,Deacon White,60,311,79,122,17,8,1,2,['Boston Red Stockings']
1873,Ezra Sutton,51,243,51,81,7,6,0,2,['Philadelphia Athletics']
1873,George Wright,59,323,99,125,17,7,3,2,['Boston Red Stockings']
1873,Jack Burdock,55,245,56,62,7,1,2,4,['Brooklyn Atlantics']
1873,Jim O'Rourke,57,280,79,98,21,2,1,3,['Boston Red Stockings']
1873,Joe Start,53,252,42,67,8,3,1,0,['New York Mutuals']
1873,Paul Hines,39,181,33,60,6,3,1,2,['Washington Blue Legs']
1873,Pop Snyder,28,107,16,21,2,0,0,4,['Washington Blue Legs']
1873,Tom Carey,56,291,76,98,18,3,1,4,['Baltimore Canaries']
1874,Cap Anson,55,260,51,87,8,3,0,1,['Philadelphia Athletics']
1874,Deacon White,70,352,75,106,5,7,3,0,['Boston Red Stockings']
1874,Ezra Sutton,55,243,54,71,10,3,0,2,['Philadelphia Athletics']
1874,George Wright,60,313,76,103,10,15,2,6,['Boston Red Stockings']
1874,Jack Burdock,61,273,45,75,11,4,1,5,['New York Mutuals']
1874,Jim O'Rourke,70,331,82,104,15,8,5,5,['Boston Red Stockings']
1874,Joe Start,63,306,67,96,13,3,2,0,['New York Mutuals']
1874,Paul Hines,59,271,47,80,10,2,0,4,['Chicago White Stockings']
1874,Pop Snyder,39,151,24,33,4,0,1,2,['Baltimore Canaries']
1874,Tom Carey,64,287,56,82,10,3,1,4,['New York Mutuals']
1875,Cap Anson,69,326,84,106,15,3,0,2,['Philadelphia Athletics']
1875,Deacon White,80,371,76,136,23,3,1,2,['Boston Red Stockings']
1875,Ezra Sutton,75,358,83,116,11,7,1,3,['Philadelphia Athletics']
1875,George Wright,79,408,106,136,20,7,2,6,['Boston Red Stockings']
1875,Jack Burdock,74,350,72,103,12,5,0,13,['Hartford Dark Blues']
1875,Jim O'Rourke,75,358,97,106,13,7,6,6,['Boston Red Stockings']
1875,Joe Start,69,314,58,90,10,5,4,0,['New York Mutuals']
1875,Paul Hines,68,308,45,101,14,4,0,0,['Chicago White Stockings']
1875,Pop Snyder,66,263,38,64,8,2,1,4,['Philadelphia Whites']
1875,Tom Carey,86,382,63,101,6,2,0,3,['Hartford Dark Blues']
1876,Cap Anson,66,309,63,110,9,7,2,8,['Chicago White Stockings']
1876,Deacon White,66,303,66,104,18,1,1,3,['Chicago White Stockings']
1876,Ezra Sutton,54,236,45,70,12,7,1,2,['Philadelphia Athletics']
1876,George Wright,70,335,72,100,18,6,1,9,['Boston Red Caps']
1876,Jack Burdock,69,309,66,80,9,1,0,16,['Hartford Dark Blues']
1876,Jim O'Rourke,70,312,61,102,17,3,2,17,['Boston Red Caps']
1876,Joe Start,56,264,40,73,6,0,0,2,['New York Mutuals']
1876,Paul Hines,64,305,62,101,21,3,2,3,['Chicago White Stockings']
1876,Pop Snyder,56,224,21,44,4,1,1,7,['Louisville Grays']
1876,Tom Carey,68,289,51,78,7,0,0,4,['Hartford Dark Blues']
1877,Cap Anson,59,255,52,86,19,1,0,3,['Chicago White Stockings']
1877,Deacon White,59,266,51,103,14,11,2,3,['Boston Red Caps']
1877,Ezra Sutton,58,253,43,74,10,6,0,10,['Boston Red Caps']
1877,George Wright,61,290,58,80,15,1,0,15,['Boston Red Caps']
1877,Harry Smith,34,130,11,28,3,1,0,11,"['Chicago White Stockings', 'Cincinnati Reds']"
1877,Jack Burdock,58,277,35,72,6,0,0,16,['Hartford Dark Blues']
1877,Jim O'Rourke,61,265,68,96,14,4,0,9,['Boston Red Caps']
1877,Joe Start,60,271,55,90,3,6,1,2,['Hartford Dark Blues']
1877,Paul Hines,60,261,44,73,11,7,0,8,['Chicago White Stockings']
1877,Pop Snyder,61,248,23,64,7,2,2,14,['Louisville Grays']
1877,Tom Carey,60,274,38,70,3,2,1,9,['Hartford Dark Blues']
1878,Cap Anson,60,261,55,89,12,2,0,1,['Chicago White Stockings']
1878,Deacon White,61,258,41,81,4,1,0,5,['Cincinnati Reds']
1878,Ezra Sutton,60,239,31,54,9,3,1,14,['Boston Red Caps']
1878,George Wright,59,267,35,60,5,1,0,22,['Boston Red Caps']
1878,Jack Burdock,60,246,37,64,12,6,0,17,['Boston Red Caps']
1878,Jim O'Rourke,60,255,44,71,17,7,1,21,['Boston Red Caps']
1878,Joe Start,61,285,58,100,12,5,1,3,['Chicago White Stockings']
1878,John Ward,37,138,14,27,5,4,1,13,['Providence Grays']
1878,King Kelly,60,237,29,67,7,1,0,7,['Cincinnati Reds']
1878,Paul Hines,62,257,42,92,13,4,4,10,['Providence Grays']
1878,Pop Snyder,60,226,21,48,5,0,0,19,['Boston Red Caps']
1878,Tom Carey,61,253,33,60,10,3,0,14,['Providence Grays']
1879,Bill Phillips,81,365,58,99,15,4,0,20,['Cleveland Blues']
1879,Bill White,1,4,1,1,0,0,0,1,['Providence Grays']
1879,Cap Anson,51,227,40,72,20,1,0,2,['Chicago White Stockings']
1879,Dan Brouthers,39,168,17,46,12,1,4,18,['Troy Trojans']
1879,Deacon White,78,333,55,110,16,6,1,9,['Cincinnati Reds']
1879,Ezra Sutton,84,339,54,84,13,4,0,18,['Boston Red Caps']
1879,George Wright,85,388,79,107,15,10,1,20,['Providence Grays']
1879,Jack Burdock,84,359,64,86,10,3,0,28,['Boston Red Caps']
1879,Jack Glasscock,80,325,31,68,9,3,0,24,['Cleveland Blues']
1879,Jim O'Rourke,81,362,69,126,19,9,1,10,['Providence Grays']
1879,Joe Start,66,317,70,101,11,5,2,4,['Providence Grays']
1879,John Ward,83,364,71,104,9,4,2,14,['Providence Grays']
1879,King Kelly,77,345,78,120,20,12,2,14,['Cincinnati Reds']
1879,Paul Hines,85,409,81,146,25,10,2,16,['Providence Grays']
1879,Pop Snyder,81,329,42,78,16,3,2,31,['Boston Red Caps']
1879,Tom Carey,80,335,30,80,14,1,0,20,['Cleveland Blues']
1880,Arlie Latham,22,79,9,10,3,1,0,8,['Buffalo Bisons']
1880,Bill Phillips,85,334,41,85,14,10,1,29,['Cleveland Blues']
1880,Buck Ewing,13,45,1,8,1,0,0,3,['Troy Trojans']
1880,Cap Anson,86,356,54,120,24,1,1,12,['Chicago White Stockings']
1880,Dan Brouthers,3,12,0,2,0,0,0,0,['Troy Trojans']
1880,Deacon White,35,141,21,42,4,2,0,7,['Cincinnati Reds']
1880,Ezra Sutton,76,288,41,72,9,2,0,7,['Boston Red Caps']
1880,George Wright,1,4,2,1,0,0,0,0,['Boston Red Caps']
1880,Jack Burdock,86,356,58,90,17,4,2,26,['Boston Red Caps']
1880,Jack Glasscock,77,296,37,72,13,3,0,21,['Cleveland Blues']
1880,Jim O'Rourke,86,363,71,100,20,11,6,8,['Boston Red Caps']
1880,Joe Start,82,345,53,96,14,6,0,20,['Providence Grays']
1880,John Ward,86,356,53,81,12,2,0,16,['Providence Grays']
1880,King Kelly,84,344,72,100,17,9,1,22,['Chicago White Stockings']
1880,Paul Hines,85,374,64,115,20,2,3,17,['Providence Grays']
1880,Roger Connor,83,340,53,113,18,8,3,21,['Troy Trojans']
1881,Bill Phillips,85,357,51,97,18,10,1,19,['Cleveland Blues']
1881,Buck Ewing,67,272,40,68,14,7,0,8,['Troy Trojans']
1881,Cap Anson,84,343,67,137,21,7,1,4,['Chicago White Stockings']
1881,Dan Brouthers,65,270,60,86,18,9,8,22,['Buffalo Bisons']
1881,Deacon White,78,319,58,99,24,4,0,8,['Buffalo Bisons']
1881,Ezra Sutton,83,333,42,97,12,4,0,9,['Boston Red Caps']
1881,George Wright,7,25,4,5,0,0,0,1,['Boston Red Caps']
1881,Jack Burdock,73,282,36,67,12,4,1,18,['Boston Red Caps']
1881,Jack Glasscock,85,335,49,86,9,5,0,8,['Cleveland Blues']
1881,Jim O'Rourke,83,348,71,105,21,7,0,18,['Buffalo Bisons']
1881,Joe Start,79,348,56,114,12,6,0,7,['Providence Grays']
1881,John Ward,85,357,56,87,18,6,0,10,['Providence Grays']
1881,King Kelly,82,353,84,114,27,3,2,14,['Chicago White Stockings']
1881,Paul Hines,80,361,65,103,27,5,2,12,['Providence Grays']
1881,Pop Snyder,62,219,14,50,8,0,0,23,['Boston Red Caps']
1881,Roger Connor,85,367,55,107,17,6,2,20,['Troy Trojans']
1882,Bid McPhee,78,311,43,71,8,7,1,0,['Cincinnati Red Stockings']
1882,Bill Phillips,78,335,40,87,17,7,4,18,['Cleveland Blues']
1882,Buck Ewing,74,328,67,89,16,11,2,15,['Troy Trojans']
1882,Cap Anson,82,348,69,126,29,8,1,7,['Chicago White Stockings']
1882,Charlie Morton,33,130,14,31,0,4,0,0,"['Pittsburg Alleghenys', 'St. Louis Brown Stockings']"
1882,Dan Brouthers,84,351,71,129,23,11,6,7,['Buffalo Bisons']
1882,Deacon White,83,337,51,95,17,0,1,16,['Buffalo Bisons']
1882,Ezra Sutton,81,319,44,80,8,1,2,25,['Boston Red Caps']
1882,Fred Pfeffer,85,330,26,72,7,4,1,24,['Troy Trojans']
1882,George Wright,46,185,14,30,1,2,0,36,['Providence Grays']
1882,Jack Burdock,83,319,36,76,6,7,0,24,['Boston Red Caps']
1882,Jack Glasscock,84,358,66,104,27,9,4,9,['Cleveland Blues']
1882,Jackie Hayes,78,326,27,88,22,4,4,26,['Worcester Ruby Legs']
1882,Jim O'Rourke,84,370,62,104,15,6,2,13,['Buffalo Bisons']
1882,Joe Start,82,356,58,117,8,10,0,7,['Providence Grays']
1882,John Ward,83,355,58,87,10,3,1,22,['Providence Grays']
1882,King Kelly,84,377,81,115,37,4,1,27,['Chicago White Stockings']
1882,Paul Hines,84,379,73,117,28,10,4,14,['Providence Grays']
1882,Pop Snyder,72,309,49,90,12,2,1,0,['Cincinnati Red Stockings']
1882,Roger Connor,81,349,65,115,22,18,4,20,['Troy Trojans']
1882,Tom Brown,45,180,28,52,4,2,1,0,['Baltimore Orioles']
1883,Arlie Latham,98,406,86,96,12,7,0,0,['St. Louis Browns']
1883,Bid McPhee,96,367,61,90,10,10,2,0,['Cincinnati Red Stockings']
1883,Bill Phillips,97,382,42,94,29,8,2,49,['Cleveland Blues']
1883,Bill White,1,1,0,0,0,0,0,0,['Philadelphia Quakers']
1883,Buck Ewing,88,376,90,114,11,13,10,14,['New York Gothams']
1883,Cap Anson,98,413,70,127,36,5,0,9,['Chicago White Stockings']
1883,Dan Brouthers,98,425,85,159,41,17,3,17,['Buffalo Bisons']
1883,Deacon White,94,391,62,114,14,5,0,18,['Buffalo Bisons']
1883,Ezra Sutton,94,414,101,134,28,15,3,12,['Boston Beaneaters']
1883,Fred Pfeffer,96,371,41,87,22,7,1,50,['Chicago White Stockings']
1883,Jack Burdock,96,400,80,132,27,8,5,35,['Boston Beaneaters']
1883,Jack Glasscock,96,383,67,110,19,6,0,23,['Cleveland Blues']
1883,Jackie Hayes,85,351,41,92,23,5,3,0,['Pittsburg Alleghenys']
1883,Jim O'Rourke,94,436,102,143,29,8,1,13,['Buffalo Bisons']
1883,Joe Start,87,370,63,105,16,7,1,16,['Providence Grays']
1883,John Ward,88,380,76,97,18,7,7,25,['New York Gothams']
1883,King Kelly,98,428,92,109,28,10,3,35,['Chicago White Stockings']
1883,Paul Hines,97,442,94,132,32,4,4,23,['Providence Grays']
1883,Pop Snyder,58,250,38,64,14,6,0,0,['Cincinnati Red Stockings']
1883,Roger Connor,98,409,80,146,28,15,1,16,['New York Gothams']
1883,Tom Brown,97,420,69,115,12,7,5,0,['Columbus Buckeyes']
1884,Arlie Latham,110,474,115,130,17,12,1,0,['St. Louis Browns']
1884,Bid McPhee,112,450,107,125,8,7,5,0,['Cincinnati Red Stockings']
1884,Bill Phillips,111,464,58,128,25,12,3,80,['Cleveland Blues']
1884,Bill White,74,291,25,66,7,10,0,0,['Pittsburg Alleghenys']
1884,Buck Ewing,94,382,90,106,15,20,3,22,['New York Gothams']
1884,Cap Anson,112,475,108,159,30,3,21,13,['Chicago White Stockings']
1884,Charles Zimmer,8,29,0,2,1,0,0,14,['Detroit Wolverines']
1884,Charlie Morton,32,111,11,18,6,2,0,0,['Toledo Blue Stockings']
1884,Dan Brouthers,94,398,82,130,22,15,14,20,['Buffalo Bisons']
1884,Deacon McGuire,45,151,12,28,7,0,1,0,['Toledo Blue Stockings']
1884,Deacon White,110,452,82,147,16,11,5,13,['Buffalo Bisons']
1884,Ezra Sutton,110,468,102,162,28,7,3,22,['Boston Beaneaters']
1884,Frank Smith,10,36,3,9,0,1,0,0,['Pittsburg Alleghenys']
1884,Fred Pfeffer,112,467,105,135,10,10,25,47,['Chicago White Stockings']
1884,Fred Tenney,6,23,1,2,0,0,0,0,"['Boston Reds', 'Washington Nationals', 'Wilmington Quicksteps']"
1884,Jack Burdock,87,361,65,97,14,4,6,52,['Boston Beaneaters']
1884,Jack Clements,50,207,40,57,13,2,3,8,"['Philadelphia Quakers', 'Philadelphia Keystones']"
1884,Jack Glasscock,110,453,93,142,13,9,3,16,"['Cincinnati Outlaw Reds', 'Cleveland Blues']"
1884,Jackie Hayes,49,175,15,40,9,1,0,0,"['Pittsburg Alleghenys', 'Brooklyn Atlantics']"
1884,Jim O'Rourke,108,467,119,162,33,7,5,17,['Buffalo Bisons']
1884,Joe Quinn,103,429,74,116,21,1,0,0,['St. Louis Maroons']
1884,Joe Start,93,381,80,105,10,5,2,25,['Providence Grays']
1884,John Ward,114,486,98,123,11,8,2,47,"['New York Gothams', 'Washington Nationals']"
1884,King Kelly,108,452,120,160,28,5,13,24,['Chicago White Stockings']
1884,Paul Hines,114,490,94,148,36,10,3,28,['Providence Grays']
1884,Pop Snyder,67,268,32,69,9,9,0,0,['Cincinnati Red Stockings']
1884,Roger Connor,116,477,98,151,28,4,4,32,['New York Gothams']
1884,Tom Brown,107,451,93,123,9,11,5,0,['Columbus Buckeyes']
1884,Tom Daly,2,8,0,0,0,0,0,0,['Philadelphia Keystones']
1885,Arlie Latham,110,485,84,100,15,3,1,0,['St. Louis Browns']
1885,Bid McPhee,110,431,78,114,12,4,0,0,['Cincinnati Red Stockings']
1885,Bill Phillips,99,391,65,118,16,11,3,0,['Brooklyn Grays']
1885,Buck Ewing,81,342,81,104,15,12,6,17,['New York Giants']
1885,Cap Anson,112,464,100,144,35,7,7,13,['Chicago White Stockings']
1885,Charlie Morton,22,79,9,14,1,2,0,10,['Detroit Wolverines']
1885,Dan Brouthers,98,407,87,146,32,11,7,10,['Buffalo Bisons']
1885,Deacon McGuire,34,121,11,23,4,2,0,23,['Detroit Wolverines']
1885,Deacon White,98,404,54,118,6,6,0,11,['Buffalo Bisons']
1885,Ezra Sutton,110,457,78,143,23,8,4,25,['Boston Beaneaters']
1885,Fred Pfeffer,112,469,90,113,12,7,5,47,['Chicago White Stockings']
1885,Jack Burdock,45,169,18,24,5,0,0,18,['Boston Beaneaters']
1885,Jack Clements,52,188,14,36,11,3,1,30,['Philadelphia Quakers']
1885,Jack Glasscock,111,446,66,125,18,3,1,10,['St. Louis Maroons']
1885,Jackie Hayes,42,137,10,18,3,0,0,0,['Brooklyn Grays']
1885,Jim O'Rourke,112,477,119,143,21,16,5,21,['New York Giants']
1885,Jimmy Ryan,3,13,2,6,1,0,0,1,['Chicago White Stockings']
1885,Joe Quinn,97,343,27,73,8,2,0,38,['St. Louis Maroons']
1885,Joe Start,101,374,47,103,11,4,0,10,['Providence Grays']
1885,John Ward,112,449,72,101,8,9,0,41,"['Providence Grays', 'New York Giants']"
1885,King Kelly,107,438,124,126,24,7,9,24,['Chicago White Stockings']
1885,Paul Hines,98,411,63,111,20,4,1,18,['Providence Grays']
1885,Pop Snyder,39,152,13,36,4,3,1,0,['Cincinnati Red Stockings']
1885,Roger Connor,110,455,102,169,23,15,1,8,['New York Giants']
1885,Tom Brown,108,437,81,134,16,12,4,0,['Pittsburg Alleghenys']
1886,Arlie Latham,134,578,152,174,23,8,1,0,['St. Louis Browns']
1886,Bid McPhee,140,560,139,150,23,12,8,0,['Cincinnati Red Stockings']
1886,Bill Phillips,141,585,68,160,26,15,0,0,['Brooklyn Grays']
1886,Bill White,135,557,96,143,17,10,1,0,['Louisville Colonels']
1886,Buck Ewing,73,275,59,85,11,7,4,17,['New York Giants']
1886,Cap Anson,125,504,117,187,35,11,10,19,['Chicago White Stockings']
1886,Charles Zimmer,6,19,1,3,0,0,0,0,['New York Metropolitans']
1886,Dan Brouthers,121,489,139,181,40,15,11,16,['Detroit Wolverines']
1886,Deacon McGuire,50,167,25,33,7,1,2,25,['Philadelphia Quakers']
1886,Deacon White,124,491,65,142,19,5,1,35,['Detroit Wolverines']
1886,Elmer Smith,9,28,6,8,1,1,0,0,['Cincinnati Red Stockings']
1886,Ezra Sutton,116,499,83,138,21,6,3,21,['Boston Beaneaters']
1886,Fred Pfeffer,118,474,88,125,17,8,7,46,['Chicago White Stockings']
1886,Jack Burdock,59,221,26,48,6,1,0,27,['Boston Beaneaters']
1886,Jack Clements,54,185,15,38,5,1,0,34,['Philadelphia Quakers']
1886,Jack Glasscock,121,486,96,158,29,7,3,13,['St. Louis Maroons']
1886,Jackie Hayes,26,89,8,17,3,0,3,23,['Washington Nationals']
1886,Jim O'Rourke,105,440,106,136,26,6,1,21,['New York Giants']
1886,Jimmy Ryan,84,327,58,100,17,6,4,28,['Chicago White Stockings']
1886,Joe Quinn,75,271,33,63,11,3,1,31,['St. Louis Maroons']
1886,Joe Start,31,122,10,27,4,1,0,13,['Washington Nationals']
1886,John Ward,122,491,82,134,17,5,2,46,['New York Giants']
1886,King Kelly,118,451,155,175,32,11,4,33,['Chicago White Stockings']
1886,Paul Hines,121,487,80,152,30,8,9,21,['Washington Nationals']
1886,Pop Snyder,60,220,33,41,8,3,0,0,['Cincinnati Red Stockings']
1886,Roger Connor,118,485,105,172,29,20,7,15,['New York Giants']
1886,Tom Brown,115,460,106,131,11,11,1,0,['Pittsburg Alleghenys']
1886,Wilbert Robinson,87,342,57,69,11,3,1,0,['Philadelphia Athletics']
1887,Arlie Latham,136,627,163,198,35,10,2,29,['St. Louis Browns']
1887,Bid McPhee,129,540,137,156,20,19,2,30,['Cincinnati Red Stockings']
1887,Bill Phillips,132,533,82,142,34,11,2,30,['Brooklyn Grays']
1887,Bill White,132,512,85,129,7,9,2,36,['Louisville Colonels']
1887,Buck Ewing,77,318,83,97,17,13,6,33,['New York Giants']
1887,Cap Anson,122,472,107,164,33,13,7,18,['Chicago White Stockings']
1887,Charles Zimmer,14,52,9,12,5,0,0,4,['Cleveland Blues']
1887,Dan Brouthers,123,500,153,169,36,20,12,9,['Detroit Wolverines']
1887,Deacon McGuire,41,150,22,46,6,6,2,8,['Philadelphia Quakers']
1887,Deacon White,111,449,71,136,20,11,3,15,['Detroit Wolverines']
1887,Elmer Smith,52,186,26,47,10,6,0,16,['Cincinnati Red Stockings']
1887,Ezra Sutton,77,326,61,99,14,9,3,6,['Boston Beaneaters']
1887,Fred Pfeffer,123,479,95,133,21,6,16,20,['Chicago White Stockings']
1887,George Van Haltren,45,172,30,35,4,0,3,15,['Chicago White Stockings']
1887,Jack Burdock,65,237,36,61,6,0,0,22,['Boston Beaneaters']
1887,Jack Clements,66,246,48,69,13,7,1,24,['Philadelphia Quakers']
1887,Jack Glasscock,122,483,91,142,18,7,0,8,['Indianapolis Hoosiers']
1887,Jack O'Connor,12,40,4,4,0,0,0,0,['Cincinnati Red Stockings']
1887,Jackie Hayes,8,28,2,4,3,0,0,4,['Baltimore Orioles']
1887,Jim O'Rourke,103,397,73,113,15,13,3,11,['New York Giants']
1887,Jimmy Ryan,126,508,117,145,23,10,11,19,['Chicago White Stockings']
1887,John Ward,129,545,114,184,16,5,1,12,['New York Giants']
1887,King Kelly,116,484,120,156,34,11,8,40,['Boston Beaneaters']
1887,Lave Cross,54,203,32,54,8,3,0,14,['Louisville Colonels']
1887,Mike Griffin,136,532,142,160,32,13,3,17,['Baltimore Orioles']
1887,Paul Hines,123,478,83,147,32,5,10,24,['Washington Nationals']
1887,Pete O'Brien,1,4,0,0,0,0,0,2,['Washington Nationals']
1887,Pop Snyder,74,282,33,72,12,6,0,38,['Cleveland Blues']
1887,Roger Connor,127,471,113,134,26,22,17,50,['New York Giants']
1887,Tom Brown,83,332,50,72,6,4,2,65,"['Pittsburg Alleghenys', 'Indianapolis Hoosiers']"
1887,Tom Daly,74,256,45,53,10,4,2,25,['Chicago White Stockings']
1887,Wilbert Robinson,68,264,28,60,6,2,1,15,['Philadelphia Athletics']
1888,Arlie Latham,133,570,119,151,19,5,2,35,['St. Louis Browns']
1888,Bid McPhee,111,458,88,110,12,10,4,32,['Cincinnati Red Stockings']
1888,Bill Hallman,18,63,5,13,4,1,0,12,['Philadelphia Quakers']
1888,Bill Phillips,129,509,57,120,20,10,1,50,['Kansas City Cowboys']
1888,Bill White,125,473,66,103,8,8,3,61,"['St. Louis Browns', 'Louisville Colonels']"
1888,Billy Hamilton,35,129,21,34,4,4,0,13,['Kansas City Cowboys']
1888,Buck Ewing,103,415,83,127,18,15,6,28,['New York Giants']
1888,Cap Anson,134,515,101,177,20,12,12,24,['Chicago White Stockings']
1888,Charles Zimmer,65,212,27,51,11,4,0,39,['Cleveland Blues']
1888,Dan Brouthers,129,522,118,160,33,11,9,13,['Detroit Wolverines']
1888,Deacon McGuire,41,158,22,41,5,5,1,29,"['Detroit Wolverines', 'Philadelphia Quakers', 'Cleveland Blues']"
1888,Deacon White,125,527,75,157,22,5,4,24,['Detroit Wolverines']
1888,Duke Farrell,64,241,34,56,6,3,3,41,['Chicago White Stockings']
1888,Ed Delahanty,74,290,40,66,12,2,1,26,['Philadelphia Quakers']
1888,Elmer Smith,40,129,15,29,4,1,0,22,['Cincinnati Red Stockings']
1888,Ezra Sutton,28,110,16,24,3,1,1,3,['Boston Beaneaters']
1888,Fred Pfeffer,135,517,90,129,22,10,8,38,['Chicago White Stockings']
1888,George Van Haltren,81,318,46,90,9,14,4,34,['Chicago White Stockings']
1888,Hugh Duffy,71,298,60,84,10,4,7,32,['Chicago White Stockings']
1888,Jack Burdock,92,325,20,46,1,2,1,44,"['Brooklyn Bridegrooms', 'Boston Beaneaters']"
1888,Jack Clements,86,326,26,80,8,4,1,36,['Philadelphia Quakers']
1888,Jack Glasscock,113,442,63,119,17,3,1,17,['Indianapolis Hoosiers']
1888,Jack O'Connor,36,137,14,28,3,1,1,10,['Cincinnati Red Stockings']
1888,Jake Beckley,71,283,35,97,15,3,0,22,['Pittsburg Alleghenys']
1888,Jim O'Rourke,107,409,50,112,16,6,4,30,['New York Giants']
1888,Jimmy Ryan,129,549,115,182,33,10,16,50,['Chicago White Stockings']
1888,Joe Quinn,38,156,19,47,8,3,4,5,['Boston Beaneaters']
1888,John Ward,122,510,70,128,14,5,2,13,['New York Giants']
1888,Kid Gleason,24,83,4,17,2,0,0,16,['Philadelphia Quakers']
1888,King Kelly,107,440,85,140,22,11,9,39,['Boston Beaneaters']
1888,Lave Cross,46,180,20,41,3,0,0,10,['Louisville Colonels']
1888,Mike Griffin,137,542,103,139,21,11,0,34,['Baltimore Orioles']
1888,Paul Hines,133,513,84,144,26,3,4,45,['Indianapolis Hoosiers']
1888,Pop Snyder,64,237,22,51,7,3,0,37,['Cleveland Blues']
1888,Roger Connor,134,481,98,140,15,17,14,44,['New York Giants']
1888,Tom Brown,107,420,62,104,10,7,9,68,['Boston Beaneaters']
1888,Tom Daly,65,219,34,42,2,6,0,26,['Chicago White Stockings']
1888,Wilbert Robinson,66,254,32,62,7,2,1,26,['Philadelphia Athletics']
1889,Arlie Latham,118,512,110,126,13,3,4,30,['St. Louis Browns']
1889,Bid McPhee,135,540,109,145,25,7,5,29,['Cincinnati Red Stockings']
1889,Bill Hallman,119,462,67,117,21,8,2,54,['Philadelphia Quakers']
1889,Billy Hamilton,137,534,144,161,17,12,3,41,['Kansas City Cowboys']
1889,Buck Ewing,99,407,91,133,23,13,4,32,['New York Giants']
1889,Cap Anson,134,518,100,177,32,7,7,19,['Chicago White Stockings']
1889,Charles Zimmer,84,259,47,67,9,9,1,35,['Cleveland Spiders']
1889,Dan Brouthers,126,485,105,181,26,9,7,6,['Boston Beaneaters']
1889,Deacon White,55,225,35,57,10,1,0,18,['Pittsburg Alleghenys']
1889,Duke Farrell,101,407,66,107,19,7,11,21,['Chicago White Stockings']
1889,Ed Delahanty,56,246,37,72,13,3,0,17,['Philadelphia Quakers']
1889,Elmer Smith,29,83,12,23,3,1,2,18,['Cincinnati Red Stockings']
1889,Fred Pfeffer,134,531,85,128,15,7,7,51,['Chicago White Stockings']
1889,George Van Haltren,134,543,126,175,20,10,9,41,['Chicago White Stockings']
1889,Harry Smith,1,2,0,1,0,0,0,1,['Louisville Colonels']
1889,Herman Long,136,574,137,158,32,6,3,63,['Kansas City Cowboys']
1889,Hugh Duffy,136,584,144,182,21,7,12,30,['Chicago White Stockings']
1889,Jack Clements,78,310,51,88,17,1,4,21,['Philadelphia Quakers']
1889,Jack Doyle,11,36,6,10,1,1,0,6,['Columbus Solons']
1889,Jack Glasscock,134,582,128,205,40,3,7,10,['Indianapolis Hoosiers']
1889,Jack O'Connor,107,398,69,107,17,7,4,37,['Columbus Solons']
1889,Jack Ryan,21,79,8,14,1,0,0,17,['Louisville Colonels']
1889,Jake Beckley,123,522,91,157,24,10,9,29,['Pittsburg Alleghenys']
1889,Jim O'Rourke,128,502,89,161,36,7,3,34,['New York Giants']
1889,Jimmy Ryan,135,576,140,187,31,14,17,62,['Chicago White Stockings']
1889,Joe Quinn,112,444,57,116,13,5,2,21,['Boston Beaneaters']
1889,John Ward,114,479,87,143,13,4,1,7,['New York Giants']
1889,Kid Gleason,30,99,11,25,5,0,0,12,['Philadelphia Quakers']
1889,King Kelly,125,507,120,149,41,5,9,40,['Boston Beaneaters']
1889,Lave Cross,55,199,22,44,8,2,0,9,['Philadelphia Athletics']
1889,Mike Griffin,137,531,152,148,21,14,4,29,['Baltimore Orioles']
1889,Paul Hines,121,486,77,148,27,1,6,22,['Indianapolis Hoosiers']
1889,Pop Snyder,22,83,5,16,3,0,0,12,['Cleveland Spiders']
1889,Roger Connor,131,496,117,157,32,17,13,46,['New York Giants']
1889,Tom Brown,90,362,93,84,10,5,2,56,['Boston Beaneaters']
1889,Tom Daly,71,250,39,75,13,5,1,28,['Washington Nationals']
1889,Wilbert Robinson,69,264,31,61,13,2,0,34,['Philadelphia Athletics']
1890,Arlie Latham,93,378,82,90,13,4,1,40,"['Cincinnati Reds', 'Chicago Pirates']"
