year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1871,Cap Anson,29,699,58,56,37,"['C', '1B', '3B', 'OF', '2B']",['Rockford Forest Citys']
1871,Deacon White,34,753,138,24,36,"['C', '3B', 'OF', '2B', 'SS']",['Cleveland Forest Citys']
1871,Ezra Sutton,32,759,41,53,25,"['C', '3B', 'OF']",['Cleveland Forest Citys']
1871,George Wright,16,411,41,62,21,"['1B', 'SS']",['Boston Red Stockings']
1871,Joe Start,33,879,334,2,29,['1B'],['New York Mutuals']
1871,Tom Carey,19,507,58,50,18,['2B'],['Fort Wayne Kekiongas']
1872,Cap Anson,46,1233,89,84,57,['3B'],['Philadelphia Athletics']
1872,Deacon White,26,642,82,37,23,"['C', '2B', 'OF']",['Cleveland Forest Citys']
1872,Ezra Sutton,22,597,47,42,35,['3B'],['Cleveland Forest Citys']
1872,George Wright,48,1290,87,193,55,['SS'],['Boston Red Stockings']
1872,Jack Burdock,42,1017,56,119,58,"['C', '2B', 'SS']",['Brooklyn Atlantics']
1872,Jim O'Rourke,27,621,54,65,43,"['C', '1B', '3B', 'SS']",['Middletown Mansfields']
1872,Joe Start,54,1479,497,0,22,['1B'],['New York Mutuals']
1872,Paul Hines,12,300,78,4,16,"['C', '1B', '3B']",['Washington Nationals']
1872,Tom Carey,45,1053,103,65,48,"['1B', '3B', 'OF', '2B', 'SS']",['Baltimore Canaries']
1873,Cap Anson,56,1449,440,32,54,"['C', '1B', '3B', 'OF', '2B']",['Philadelphia Athletics']
1873,Deacon White,68,1500,231,46,53,"['C', 'OF']",['Boston Red Stockings']
1873,Ezra Sutton,53,1371,88,133,61,"['2B', '3B', 'SS']",['Philadelphia Athletics']
1873,George Wright,59,1569,89,247,71,['SS'],['Boston Red Stockings']
1873,Jack Burdock,57,1500,170,166,75,"['C', '2B']",['Brooklyn Atlantics']
1873,Jim O'Rourke,67,1512,394,21,48,"['C', '1B', 'OF']",['Boston Red Stockings']
1873,Joe Start,55,1413,413,18,26,"['OF', '1B']",['New York Mutuals']
1873,Paul Hines,39,1056,93,15,26,"['C', '2B', 'OF']",['Washington Blue Legs']
1873,Pop Snyder,31,795,97,44,31,"['C', 'OF']",['Washington Blue Legs']
1873,Tom Carey,61,1470,136,152,55,"['2B', '3B', 'SS']",['Baltimore Canaries']
1874,Cap Anson,59,1464,283,57,49,"['C', '1B', '3B', 'OF', 'SS']",['Philadelphia Athletics']
1874,Deacon White,80,1908,273,40,70,"['C', '1B', 'OF']",['Boston Red Stockings']
1874,Ezra Sutton,56,1404,79,136,48,"['3B', 'SS']",['Philadelphia Athletics']
1874,George Wright,61,1623,97,198,64,"['3B', 'SS']",['Boston Red Stockings']
1874,Jack Burdock,63,1647,163,131,64,"['OF', '3B']",['New York Mutuals']
1874,Jim O'Rourke,70,1878,755,12,46,['1B'],['Boston Red Stockings']
1874,Joe Start,65,1692,560,13,23,"['OF', '1B']",['New York Mutuals']
1874,Paul Hines,63,1608,167,33,40,"['OF', '2B', 'SS']",['Chicago White Stockings']
1874,Pop Snyder,39,990,132,47,48,['C'],['Baltimore Canaries']
1874,Tom Carey,64,1713,70,167,68,"['2B', 'SS']",['New York Mutuals']
1875,Cap Anson,75,1836,352,49,54,"['C', '1B', '3B', 'OF']",['Philadelphia Athletics']
1875,Deacon White,90,1974,368,88,63,"['C', '1B', 'OF']",['Boston Red Stockings']
1875,Ezra Sutton,79,2010,150,168,76,"['1B', '3B', 'OF', 'SS', 'P']",['Philadelphia Athletics']
1875,George Wright,81,2085,95,254,56,"['SS', 'P']",['Boston Red Stockings']
1875,Jack Burdock,76,2001,211,185,49,"['C', '2B', '3B']",['Hartford Dark Blues']
1875,Jim O'Rourke,79,2043,142,63,58,"['C', '1B', '3B', 'OF']",['Boston Red Stockings']
1875,Joe Start,69,1866,702,12,39,['1B'],['New York Mutuals']
1875,Paul Hines,71,1941,169,118,48,"['C', '2B', 'SS', 'OF']",['Chicago White Stockings']
1875,Pop Snyder,67,1776,309,58,77,"['C', '1B']",['Philadelphia Whites']
1875,Tom Carey,87,2292,89,240,61,"['2B', 'SS']",['Hartford Dark Blues']
1876,Cap Anson,68,1773,137,147,50,"['C', '3B']",['Chicago White Stockings']
1876,Deacon White,71,1812,318,51,69,"['C', '1B', '3B', 'OF', 'P']",['Chicago White Stockings']
1876,Ezra Sutton,56,1518,390,52,58,"['2B', '1B', '3B', 'OF']",['Philadelphia Athletics']
1876,George Wright,71,1893,96,253,44,"['2B', 'SS', 'P']",['Boston Red Caps']
1876,Jack Burdock,70,1857,211,175,45,"['2B', '3B']",['Hartford Dark Blues']
1876,Jim O'Rourke,71,1893,170,7,28,"['C', '1B', 'OF']",['Boston Red Caps']
1876,Joe Start,56,1572,547,10,21,['1B'],['New York Mutuals']
1876,Paul Hines,65,1719,159,8,14,"['OF', '2B']",['Chicago White Stockings']
1876,Pop Snyder,59,1524,252,87,68,"['C', 'OF']",['Louisville Grays']
1876,Tom Carey,68,1845,74,218,39,['SS'],['Hartford Dark Blues']
1877,Cap Anson,71,1674,177,118,42,"['C', '3B']",['Chicago White Stockings']
1877,Deacon White,61,1623,384,22,24,"['C', '1B', 'OF']",['Boston Red Caps']
1877,Ezra Sutton,58,1650,104,122,36,"['3B', 'SS']",['Boston Red Caps']
1877,George Wright,61,1647,175,217,55,"['2B', 'SS']",['Boston Red Caps']
1877,Harry Smith,38,882,100,48,29,"['OF', '2B', 'C']","['Chicago White Stockings', 'Cincinnati Reds']"
1877,Jack Burdock,58,1587,190,201,44,"['2B', '3B']",['Hartford Dark Blues']
1877,Jim O'Rourke,61,1758,118,9,23,"['OF', '1B']",['Boston Red Caps']
1877,Joe Start,60,1632,704,10,27,['1B'],['Hartford Dark Blues']
1877,Paul Hines,60,1587,102,40,36,"['OF', '2B']",['Chicago White Stockings']
1877,Pop Snyder,63,1662,292,103,40,"['C', 'SS', 'OF']",['Louisville Grays']
1877,Tom Carey,60,1632,49,203,53,['SS'],['Hartford Dark Blues']
1878,Cap Anson,63,1647,95,42,25,"['C', '2B', '3B', 'OF']",['Chicago White Stockings']
1878,Deacon White,65,1554,277,71,39,"['C', '3B', 'OF']",['Cincinnati Reds']
1878,Ezra Sutton,60,1617,82,121,25,"['3B', 'SS']",['Boston Red Caps']
1878,George Wright,59,1605,72,197,15,['SS'],['Boston Red Caps']
1878,Jack Burdock,60,1629,245,212,41,['2B'],['Boston Red Caps']
1878,Jim O'Rourke,61,1641,124,17,22,"['C', '1B', 'OF']",['Boston Red Caps']
1878,Joe Start,61,1653,719,13,33,['1B'],['Chicago White Stockings']
1878,John Ward,37,1002,23,74,15,['P'],['Providence Grays']
1878,King Kelly,66,1707,150,65,43,"['C', '3B', 'OF']",['Cincinnati Reds']
1878,Paul Hines,62,1665,109,20,24,"['OF', 'SS']",['Providence Grays']
1878,Pop Snyder,60,1578,344,92,42,"['C', 'OF']",['Boston Red Caps']
1878,Tom Carey,61,1626,56,207,38,['SS'],['Providence Grays']
1879,Bill Phillips,88,2229,775,32,54,"['C', '1B', 'OF']",['Cleveland Blues']
1879,Bill White,1,27,12,0,0,['1B'],['Providence Grays']
1879,Cap Anson,51,1359,620,8,16,['1B'],['Chicago White Stockings']
1879,Dan Brouthers,40,1062,406,7,34,"['1B', 'P']",['Troy Trojans']
1879,Deacon White,82,2046,349,96,55,"['C', '1B', 'OF']",['Cincinnati Reds']
1879,Ezra Sutton,84,2196,89,210,47,"['3B', 'SS']",['Boston Red Caps']
1879,George Wright,85,2328,96,319,34,['SS'],['Providence Grays']
1879,Jack Burdock,84,2256,303,300,59,['2B'],['Boston Red Caps']
1879,Jack Glasscock,80,2220,233,238,43,"['2B', '3B']",['Cleveland Blues']
1879,Jim O'Rourke,84,2280,302,29,34,"['C', '1B', '3B', 'OF']",['Providence Grays']
1879,Joe Start,66,1791,779,11,22,"['OF', '1B']",['Providence Grays']
1879,John Ward,94,2343,55,167,23,"['OF', '3B', 'P']",['Providence Grays']
1879,King Kelly,84,2199,164,139,58,"['C', '2B', '3B', 'OF']",['Cincinnati Reds']
1879,Paul Hines,85,2328,146,24,26,['OF'],['Providence Grays']
1879,Pop Snyder,82,2148,398,142,44,"['C', 'OF']",['Boston Red Caps']
1879,Tom Carey,80,2166,79,263,54,['SS'],['Cleveland Blues']
1880,Arlie Latham,23,507,31,36,7,"['C', 'SS', 'OF']",['Buffalo Bisons']
1880,Bill Phillips,85,2280,842,25,33,['1B'],['Cleveland Blues']
1880,Buck Ewing,14,321,48,7,11,"['C', 'OF']",['Troy Trojans']
1880,Cap Anson,92,2322,882,30,25,"['2B', '1B', '3B', 'SS']",['Chicago White Stockings']
1880,Dan Brouthers,3,78,25,0,3,['1B'],['Troy Trojans']
1880,Deacon White,37,963,59,9,17,"['2B', '1B', 'OF']",['Cincinnati Reds']
1880,Ezra Sutton,76,1995,114,188,35,"['3B', 'SS']",['Boston Red Caps']
1880,George Wright,1,21,0,3,0,['SS'],['Boston Red Caps']
1880,Jack Burdock,86,2235,328,275,50,['2B'],['Boston Red Caps']
1880,Jack Glasscock,77,2091,107,252,44,['SS'],['Cleveland Blues']
1880,Jim O'Rourke,92,2301,268,96,43,"['C', '1B', '3B', 'OF', 'SS']",['Boston Red Caps']
1880,Joe Start,82,2232,954,10,29,['1B'],['Providence Grays']
1880,John Ward,97,2442,74,203,17,"['OF', '3B', 'P']",['Providence Grays']
1880,King Kelly,98,2319,111,68,42,"['C', '3B', 'OF', '2B', 'SS', 'P']",['Chicago White Stockings']
1880,Paul Hines,85,2367,207,37,15,"['2B', '1B', 'OF']",['Providence Grays']
1880,Roger Connor,83,2217,116,159,60,['3B'],['Troy Trojans']
1881,Bill Phillips,85,2280,806,24,29,['1B'],['Cleveland Blues']
1881,Buck Ewing,69,1902,256,185,43,"['C', '3B', 'SS', 'OF']",['Troy Trojans']
1881,Cap Anson,87,2223,894,43,24,"['C', '1B', 'SS']",['Chicago White Stockings']
1881,Dan Brouthers,65,1815,385,18,33,"['OF', '1B']",['Buffalo Bisons']
1881,Deacon White,79,2079,371,119,70,"['C', '1B', '3B', 'OF', '2B']",['Buffalo Bisons']
1881,Ezra Sutton,83,2142,114,161,39,"['3B', 'SS']",['Boston Red Caps']
1881,George Wright,7,174,7,19,1,['SS'],['Boston Red Caps']
1881,Jack Burdock,73,1884,202,208,40,"['2B', 'SS']",['Boston Red Caps']
1881,Jack Glasscock,85,2286,128,296,46,"['2B', 'SS']",['Cleveland Blues']
1881,Jim O'Rourke,86,2196,148,97,47,"['C', '1B', '3B', 'OF', 'SS']",['Buffalo Bisons']
1881,Joe Start,79,2139,837,17,33,['1B'],['Providence Grays']
1881,John Ward,92,2469,103,130,29,"['OF', 'SS', 'P']",['Providence Grays']
1881,King Kelly,91,2184,121,52,33,"['C', '3B', 'OF']",['Chicago White Stockings']
1881,Paul Hines,83,2130,184,23,27,"['2B', '1B', 'OF']",['Providence Grays']
1881,Pop Snyder,63,1557,261,110,44,"['C', '2B', 'SS', 'OF']",['Boston Red Caps']
1881,Roger Connor,85,2310,836,40,46,['1B'],['Troy Trojans']
1882,Bid McPhee,78,2115,274,207,42,['2B'],['Cincinnati Red Stockings']
1882,Bill Phillips,79,2097,830,25,25,"['C', '1B']",['Cleveland Blues']
1882,Buck Ewing,76,1989,204,172,47,"['C', '1B', '3B', 'OF', '2B', 'P']",['Troy Trojans']
1882,Cap Anson,83,2223,813,27,46,"['C', '1B']",['Chicago White Stockings']
1882,Charlie Morton,38,855,41,24,17,"['OF', '2B', '3B', 'SS']","['Pittsburg Alleghenys', 'St. Louis Brown Stockings']"
1882,Dan Brouthers,84,2184,882,19,24,['1B'],['Buffalo Bisons']
1882,Deacon White,83,2226,173,150,55,"['C', '3B']",['Buffalo Bisons']
1882,Ezra Sutton,81,2142,104,151,42,"['3B', 'SS']",['Boston Red Caps']
1882,Fred Pfeffer,85,2265,169,282,76,"['2B', 'SS']",['Troy Trojans']
1882,George Wright,46,1212,46,133,26,['SS'],['Providence Grays']
1882,Jack Burdock,83,2190,223,256,35,['2B'],['Boston Red Caps']
1882,Jack Glasscock,84,2238,112,313,47,"['3B', 'SS']",['Cleveland Blues']
1882,Jackie Hayes,79,2070,162,40,41,"['C', '3B', 'SS', 'OF']",['Worcester Ruby Legs']
1882,Jim O'Rourke,86,2142,149,17,26,"['C', '3B', 'SS', 'OF']",['Buffalo Bisons']
1882,Joe Start,82,2220,905,21,25,['1B'],['Providence Grays']
1882,John Ward,87,2385,105,105,31,"['OF', 'SS', 'P']",['Providence Grays']
1882,King Kelly,96,2250,133,149,59,"['C', '1B', '3B', 'OF', 'SS']",['Chicago White Stockings']
1882,Paul Hines,84,2277,175,16,29,"['OF', '1B']",['Providence Grays']
1882,Pop Snyder,73,1923,368,95,44,"['C', '1B', 'OF']",['Cincinnati Red Stockings']
1882,Roger Connor,81,2316,518,57,44,"['OF', '1B', '3B']",['Troy Trojans']
1882,Tom Brown,47,1176,57,17,29,"['OF', 'P']",['Baltimore Orioles']
1883,Arlie Latham,99,2619,120,256,58,"['C', '3B']",['St. Louis Browns']
1883,Bid McPhee,96,2550,314,277,46,['2B'],['Cincinnati Red Stockings']
1883,Bill Phillips,97,2583,953,22,33,['1B'],['Cleveland Blues']
1883,Bill White,2,18,3,1,1,"['3B', 'SS']",['Philadelphia Quakers']
1883,Buck Ewing,93,2205,310,145,50,"['C', '3B', 'OF', '2B', 'SS']",['New York Gothams']
1883,Cap Anson,102,2595,1034,42,42,"['C', '1B', 'OF', 'P']",['Chicago White Stockings']
1883,Dan Brouthers,99,2640,1041,40,44,"['1B', '3B', 'P']",['Buffalo Bisons']
1883,Deacon White,99,2565,183,165,67,"['C', '3B']",['Buffalo Bisons']
1883,Ezra Sutton,95,2493,123,157,42,"['OF', '3B', 'SS']",['Boston Beaneaters']
1883,Fred Pfeffer,99,2445,281,328,86,"['2B', '1B', '3B', 'SS']",['Chicago White Stockings']
1883,Jack Burdock,96,2535,224,290,44,['2B'],['Boston Beaneaters']
1883,Jack Glasscock,96,2565,145,325,40,"['2B', 'SS']",['Cleveland Blues']
1883,Jackie Hayes,91,2184,354,85,49,"['C', '1B', 'OF', '2B', 'SS']",['Pittsburg Alleghenys']
1883,Jim O'Rourke,107,2514,226,61,39,"['C', '3B', 'OF', 'SS', 'P']",['Buffalo Bisons']
1883,Joe Start,87,2280,923,29,43,['1B'],['Providence Grays']
1883,John Ward,98,2697,154,116,42,"['3B', 'OF', '2B', 'SS', 'P']",['New York Gothams']
1883,King Kelly,126,2727,183,91,63,"['C', '3B', 'OF', '2B', 'P']",['Chicago White Stockings']
1883,Paul Hines,98,2541,268,27,24,"['OF', '1B']",['Providence Grays']
1883,Pop Snyder,59,1593,286,78,36,"['C', 'SS']",['Cincinnati Red Stockings']
1883,Roger Connor,98,2565,958,40,44,['1B'],['New York Gothams']
1883,Tom Brown,99,2511,153,22,44,"['OF', 'P']",['Columbus Buckeyes']
1884,Arlie Latham,111,2955,142,302,70,"['C', '3B']",['St. Louis Browns']
1884,Bid McPhee,112,2943,415,365,64,['2B'],['Cincinnati Red Stockings']
1884,Bill Phillips,111,2925,1107,30,48,['1B'],['Cleveland Blues']
1884,Bill White,74,1905,75,206,69,"['OF', '3B', 'SS']",['Pittsburg Alleghenys']
1884,Buck Ewing,97,2229,458,139,46,"['C', '3B', 'OF', 'SS', 'P']",['New York Gothams']
1884,Cap Anson,117,3015,1216,48,62,"['C', '1B', 'SS', 'P']",['Chicago White Stockings']
1884,Charles Zimmer,8,210,31,11,8,"['C', 'OF']",['Detroit Wolverines']
1884,Charlie Morton,35,828,33,26,8,"['OF', '2B', '3B', 'P']",['Toledo Blue Stockings']
1884,Dan Brouthers,94,2445,958,30,39,"['1B', '3B']",['Buffalo Bisons']
1884,Deacon McGuire,48,1125,231,61,32,"['C', 'SS', 'OF']",['Toledo Blue Stockings']
1884,Deacon White,111,2865,130,203,66,"['C', '3B']",['Buffalo Bisons']
1884,Ezra Sutton,110,2988,119,186,31,['3B'],['Boston Beaneaters']
1884,Frank Smith,10,252,39,7,4,"['C', 'OF']",['Pittsburg Alleghenys']
1884,Fred Pfeffer,113,2991,395,422,88,"['2B', 'P']",['Chicago White Stockings']
1884,Fred Tenney,6,153,2,8,2,['P'],"['Boston Reds', 'Washington Nationals', 'Wilmington Quicksteps']"
1884,Jack Burdock,88,2307,183,278,39,"['2B', '3B']",['Boston Beaneaters']
1884,Jack Clements,52,1479,193,62,45,"['C', 'SS', 'OF']","['Philadelphia Quakers', 'Philadelphia Keystones']"
1884,Jack Glasscock,112,2943,182,389,69,"['2B', 'SS', 'P']","['Cincinnati Outlaw Reds', 'Cleveland Blues']"
1884,Jackie Hayes,49,1293,274,59,27,"['2B', '1B', 'C', 'OF']","['Pittsburg Alleghenys', 'Brooklyn Atlantics']"
1884,Jim O'Rourke,119,2859,350,23,30,"['C', '1B', '3B', 'OF', 'P']",['Buffalo Bisons']
1884,Joe Quinn,104,2775,1039,36,64,"['OF', '1B', 'SS']",['St. Louis Maroons']
1884,Joe Start,93,2544,939,21,20,['1B'],['Providence Grays']
1884,John Ward,116,2988,201,206,59,"['OF', '2B', 'P']","['New York Gothams', 'Washington Nationals']"
1884,King Kelly,118,3033,201,141,86,"['C', '1B', '3B', 'OF', '2B', 'SS', 'P']",['Chicago White Stockings']
1884,Paul Hines,116,3171,266,20,29,"['OF', '1B', 'P']",['Providence Grays']
1884,Pop Snyder,68,1812,363,137,41,"['C', '1B', 'OF']",['Cincinnati Red Stockings']
1884,Roger Connor,116,3123,299,234,96,"['OF', '2B', '3B']",['New York Gothams']
1884,Tom Brown,111,2835,165,18,35,"['OF', 'P']",['Columbus Buckeyes']
1884,Tom Daly,2,60,15,3,3,['C'],['Philadelphia Keystones']
1885,Arlie Latham,111,2982,116,224,49,"['C', '3B']",['St. Louis Browns']
1885,Bid McPhee,110,2949,339,354,47,['2B'],['Cincinnati Red Stockings']
1885,Bill Phillips,99,2664,1109,24,32,['1B'],['Brooklyn Grays']
1885,Buck Ewing,88,2250,377,119,47,"['C', '1B', '3B', 'OF', 'SS', 'P']",['New York Giants']
1885,Cap Anson,113,3009,1255,39,57,"['C', '1B']",['Chicago White Stockings']
1885,Charlie Morton,22,600,23,57,22,"['3B', 'SS']",['Detroit Wolverines']
1885,Dan Brouthers,98,2526,996,25,26,['1B'],['Buffalo Bisons']
1885,Deacon McGuire,34,993,252,52,26,"['C', 'OF']",['Detroit Wolverines']
1885,Deacon White,98,2520,118,198,40,['3B'],['Buffalo Bisons']
1885,Ezra Sutton,110,2832,157,222,53,"['2B', '1B', '3B', 'SS']",['Boston Beaneaters']
1885,Fred Pfeffer,115,3060,328,397,86,"['OF', '2B', 'P']",['Chicago White Stockings']
1885,Jack Burdock,45,1173,99,134,21,['2B'],['Boston Beaneaters']
1885,Jack Clements,52,1233,196,49,32,"['C', 'OF']",['Philadelphia Quakers']
1885,Jack Glasscock,111,2895,158,404,50,"['2B', 'SS']",['St. Louis Maroons']
1885,Jackie Hayes,42,1020,209,53,29,['C'],['Brooklyn Grays']
1885,Jim O'Rourke,120,2964,182,13,15,"['C', 'OF']",['New York Giants']
1885,Jimmy Ryan,3,135,6,11,8,"['OF', 'SS']",['Chicago White Stockings']
1885,Joe Quinn,99,2400,229,76,35,"['OF', '1B', '3B']",['St. Louis Maroons']
1885,Joe Start,101,2595,1036,35,31,['1B'],['Providence Grays']
1885,John Ward,112,3000,167,352,56,"['SS', 'P']","['Providence Grays', 'New York Giants']"
1885,King Kelly,116,3036,259,112,58,"['C', '1B', '3B', 'OF', '2B']",['Chicago White Stockings']
1885,Paul Hines,99,2583,245,25,37,"['1B', '3B', 'OF', '2B', 'SS']",['Providence Grays']
1885,Pop Snyder,39,1056,192,64,35,"['C', '1B']",['Cincinnati Red Stockings']
1885,Roger Connor,110,2958,1178,42,31,['1B'],['New York Giants']
1885,Tom Brown,110,2973,186,21,44,"['OF', 'P']",['Pittsburg Alleghenys']
1886,Arlie Latham,134,3549,139,290,88,"['2B', '3B']",['St. Louis Browns']
1886,Bid McPhee,140,3717,529,464,65,['2B'],['Cincinnati Red Stockings']
1886,Bill Phillips,141,3702,1395,33,32,['1B'],['Brooklyn Grays']
1886,Bill White,136,3534,212,431,96,"['SS', 'P']",['Louisville Colonels']
1886,Buck Ewing,75,1758,311,97,36,"['C', '1B', 'OF']",['New York Giants']
1886,Cap Anson,137,3312,1220,84,53,"['C', '1B']",['Chicago White Stockings']
1886,Charles Zimmer,6,162,33,17,6,['C'],['New York Metropolitans']
1886,Dan Brouthers,121,3177,1256,27,42,['1B'],['Detroit Wolverines']
1886,Deacon McGuire,50,1308,299,51,41,"['C', 'OF']",['Philadelphia Quakers']
1886,Deacon White,124,3258,131,245,68,['3B'],['Detroit Wolverines']
1886,Elmer Smith,10,234,1,3,2,"['OF', 'P']",['Cincinnati Red Stockings']
1886,Ezra Sutton,117,3117,181,204,56,"['OF', '2B', '3B', 'SS']",['Boston Beaneaters']
1886,Fred Pfeffer,119,3096,344,340,73,"['2B', '1B']",['Chicago White Stockings']
1886,Jack Burdock,59,1545,145,165,33,['2B'],['Boston Beaneaters']
1886,Jack Clements,54,1446,334,54,30,"['C', 'OF']",['Philadelphia Quakers']
1886,Jack Glasscock,121,3078,157,392,57,"['OF', 'SS']",['St. Louis Maroons']
1886,Jackie Hayes,27,603,85,23,8,"['C', '2B', 'OF']",['Washington Nationals']
1886,Jim O'Rourke,112,2796,369,96,28,"['C', '1B', 'OF']",['New York Giants']
1886,Jimmy Ryan,92,2313,115,55,30,"['3B', 'OF', '2B', 'SS', 'P']",['Chicago White Stockings']
1886,Joe Quinn,76,1911,199,55,34,"['1B', '3B', 'OF', '2B', 'SS']",['St. Louis Maroons']
1886,Joe Start,31,831,348,7,10,['1B'],['Washington Nationals']
1886,John Ward,122,3132,191,369,69,['SS'],['New York Giants']
1886,King Kelly,137,3138,387,141,59,"['C', '1B', '3B', 'OF', '2B', 'SS']",['Chicago White Stockings']
1886,Paul Hines,125,3153,311,66,47,"['1B', '3B', 'OF', '2B', 'SS']",['Washington Nationals']
1886,Pop Snyder,61,1491,329,80,43,"['C', '1B', 'OF']",['Cincinnati Red Stockings']
1886,Roger Connor,118,3033,1164,65,34,['1B'],['New York Giants']
1886,Tom Brown,116,3048,185,32,42,"['OF', 'P']",['Pittsburg Alleghenys']
1886,Wilbert Robinson,88,2130,442,118,58,"['C', '1B', 'OF']",['Philadelphia Athletics']
1887,Arlie Latham,139,3639,169,305,66,"['C', '2B', '3B']",['St. Louis Browns']
1887,Bid McPhee,129,3402,442,434,72,['2B'],['Cincinnati Red Stockings']
1887,Bill Phillips,132,3417,1299,46,24,['1B'],['Brooklyn Grays']
1887,Bill White,132,3510,204,431,96,['SS'],['Louisville Colonels']
1887,Buck Ewing,78,2055,153,173,48,"['C', '2B', '3B']",['New York Giants']
1887,Cap Anson,123,3219,1233,70,37,"['C', '1B']",['Chicago White Stockings']
1887,Charles Zimmer,14,318,64,13,7,"['C', '1B']",['Cleveland Blues']
1887,Dan Brouthers,123,3153,1141,35,38,['1B'],['Detroit Wolverines']
1887,Deacon McGuire,41,1047,214,52,35,['C'],['Philadelphia Quakers']
1887,Deacon White,111,2841,152,227,65,"['OF', '1B', '3B']",['Detroit Wolverines']
1887,Elmer Smith,54,1359,9,67,13,"['OF', 'P']",['Cincinnati Red Stockings']
1887,Ezra Sutton,79,1986,178,234,58,"['OF', '2B', '3B', 'SS']",['Boston Beaneaters']
1887,Fred Pfeffer,125,3243,394,402,72,"['OF', '2B']",['Chicago White Stockings']
1887,George Van Haltren,47,1125,47,26,8,"['OF', 'P']",['Chicago White Stockings']
1887,Jack Burdock,65,1569,117,188,41,['2B'],['Boston Beaneaters']
1887,Jack Clements,66,1656,338,91,26,"['C', '3B', 'SS']",['Philadelphia Quakers']
1887,Jack Glasscock,123,3123,211,493,73,"['SS', 'P']",['Indianapolis Hoosiers']
1887,Jack O'Connor,12,303,29,15,7,"['C', 'OF']",['Cincinnati Red Stockings']
1887,Jackie Hayes,8,159,7,5,6,"['C', '3B', 'OF']",['Baltimore Orioles']
1887,Jim O'Rourke,108,2721,248,127,48,"['C', '2B', '3B', 'OF']",['New York Giants']
1887,Jimmy Ryan,133,3267,172,54,39,"['OF', '2B', 'P']",['Chicago White Stockings']
1887,John Ward,129,3315,226,469,61,['SS'],['New York Giants']
1887,King Kelly,122,3093,252,163,72,"['C', '3B', 'OF', '2B', 'SS', 'P']",['Boston Beaneaters']
1887,Lave Cross,54,1407,267,67,32,"['C', 'OF']",['Louisville Colonels']
1887,Mike Griffin,136,3555,256,13,22,['OF'],['Baltimore Orioles']
1887,Paul Hines,125,3213,270,39,35,"['2B', '1B', 'SS', 'OF']",['Washington Nationals']
1887,Pete O'Brien,1,30,0,5,2,['2B'],['Washington Nationals']
1887,Pop Snyder,76,1950,404,148,51,"['C', '1B']",['Cleveland Blues']
1887,Roger Connor,127,3279,1325,44,10,['1B'],['New York Giants']
1887,Tom Brown,83,2232,188,17,36,['OF'],"['Pittsburg Alleghenys', 'Indianapolis Hoosiers']"
1887,Tom Daly,78,1926,390,161,39,"['C', '1B', 'OF', '2B', 'SS']",['Chicago White Stockings']
1887,Wilbert Robinson,71,1695,291,138,50,"['C', '1B', 'OF']",['Philadelphia Athletics']
1888,Arlie Latham,134,3552,178,287,62,"['3B', 'SS']",['St. Louis Browns']
1888,Bid McPhee,111,3045,369,365,47,['2B'],['Cincinnati Red Stockings']
1888,Bill Hallman,19,402,54,24,12,"['C', '3B', 'OF', '2B', 'SS']",['Philadelphia Quakers']
1888,Bill Phillips,129,3396,1476,55,32,['1B'],['Kansas City Cowboys']
1888,Bill White,125,3321,199,368,86,"['2B', '3B', 'SS']","['St. Louis Browns', 'Louisville Colonels']"
1888,Billy Hamilton,35,783,45,4,2,['OF'],['Kansas City Cowboys']
1888,Buck Ewing,105,2739,515,185,53,"['C', '3B', 'SS', 'P']",['New York Giants']
1888,Cap Anson,134,3525,1314,65,20,['1B'],['Chicago White Stockings']
1888,Charles Zimmer,66,1632,345,115,40,"['C', '1B', 'SS', 'OF']",['Cleveland Blues']
1888,Dan Brouthers,129,3429,1345,48,42,['1B'],['Detroit Wolverines']
1888,Deacon McGuire,41,1050,223,47,38,"['C', '1B', '3B', 'OF']","['Detroit Wolverines', 'Philadelphia Quakers', 'Cleveland Blues']"
1888,Deacon White,125,3306,146,244,65,['3B'],['Detroit Wolverines']
1888,Duke Farrell,65,1677,231,53,39,"['C', '1B', 'OF']",['Chicago White Stockings']
1888,Ed Delahanty,73,1944,157,173,47,"['OF', '2B']",['Philadelphia Quakers']
1888,Elmer Smith,42,1050,4,58,12,"['OF', 'P']",['Cincinnati Red Stockings']
1888,Ezra Sutton,28,720,33,49,15,"['3B', 'SS']",['Boston Beaneaters']
1888,Fred Pfeffer,135,3552,421,457,65,['2B'],['Chicago White Stockings']
1888,George Van Haltren,87,2124,98,62,17,"['OF', 'P']",['Chicago White Stockings']
1888,Hugh Duffy,71,1965,107,30,17,"['OF', '3B', 'SS']",['Chicago White Stockings']
1888,Jack Burdock,92,2460,225,291,55,['2B'],"['Brooklyn Bridegrooms', 'Boston Beaneaters']"
1888,Jack Clements,86,2268,496,104,47,"['C', 'OF']",['Philadelphia Quakers']
1888,Jack Glasscock,114,2877,209,347,61,"['2B', 'SS', 'P']",['Indianapolis Hoosiers']
1888,Jack O'Connor,36,990,68,17,20,"['C', 'OF']",['Cincinnati Red Stockings']
1888,Jake Beckley,71,1872,744,19,16,['1B'],['Pittsburg Alleghenys']
1888,Jim O'Rourke,108,2799,251,40,14,"['C', '1B', '3B', 'OF']",['New York Giants']
