year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1985,Lee Lacy,115,2946,231,9,4,['OF'],['Baltimore Orioles']
1985,Lee Smith,65,293,3,9,0,['P'],['Chicago Cubs']
1985,Lonnie Smith,147,3382,238,11,9,['OF'],"['Kansas City Royals', 'St. Louis Cardinals']"
1985,Lou Whitaker,150,3923,314,414,11,['2B'],['Detroit Tigers']
1985,Manny Trillo,121,3076,263,361,13,"['2B', '3B']",['San Francisco Giants']
1985,Mark Langston,24,380,9,26,2,['P'],['Seattle Mariners']
1985,Matt Williams,6,78,0,1,1,['P'],['Texas Rangers']
1985,Mike Flanagan,15,258,4,11,0,['P'],['Baltimore Orioles']
1985,Mike Jorgensen,51,833,318,17,2,"['OF', '1B']",['St. Louis Cardinals']
1985,Mike Marshall,132,3494,265,12,4,"['OF', '1B']",['Los Angeles Dodgers']
1985,Mike Morgan,2,18,0,1,0,['P'],['Seattle Mariners']
1985,Mike Schmidt,161,3990,911,193,18,"['1B', '3B', 'SS']",['Philadelphia Phillies']
1985,Mike Stanton,35,122,4,7,1,['P'],"['Chicago White Sox', 'Seattle Mariners']"
1985,Milt Wilcox,8,117,3,12,2,['P'],['Detroit Tigers']
1985,Nolan Ryan,35,696,6,20,2,['P'],['Houston Astros']
1985,Orel Hershiser,36,719,20,45,7,['P'],['Los Angeles Dodgers']
1985,Otis Nixon,80,1165,129,5,4,['OF'],['Cleveland Indians']
1985,Ozzie Guillen,150,3608,220,382,12,['SS'],['Chicago White Sox']
1985,Ozzie Smith,158,4221,264,549,14,['SS'],['St. Louis Cardinals']
1985,Ozzie Virgil,120,3086,667,52,4,['C'],['Philadelphia Phillies']
1985,Paul Molitor,135,3504,126,263,19,['3B'],['Milwaukee Brewers']
1985,Paul O'Neill,2,48,3,1,0,['OF'],['Cincinnati Reds']
1985,Pete O'Brien,159,4040,1457,98,8,['1B'],['Texas Rangers']
1985,Pete Rose,110,2815,870,73,5,['1B'],['Cincinnati Reds']
1985,Phil Garner,138,3110,101,229,21,"['2B', '3B']",['Houston Astros']
1985,Phil Niekro,33,660,11,20,0,['P'],['New York Yankees']
1985,Rafael Belliard,12,173,13,23,2,['SS'],['Pittsburgh Pirates']
1985,Reggie Jackson,81,1873,112,6,7,['OF'],['California Angels']
1985,Rich Gossage,50,237,0,7,0,['P'],['San Diego Padres']
1985,Richie Hebner,20,443,110,24,4,"['OF', '1B', '3B']",['Chicago Cubs']
1985,Rick Aguilera,21,367,8,16,0,['P'],['New York Mets']
1985,Rick Cerone,91,2097,384,48,6,['C'],['Atlanta Braves']
1985,Rick Dempsey,131,3024,575,49,8,['C'],['Baltimore Orioles']
1985,Rick Honeycutt,31,426,9,37,2,['P'],['Los Angeles Dodgers']
1985,Rick Reuschel,31,582,24,40,0,['P'],['Pittsburgh Pirates']
1985,Rick Rhoden,35,640,13,30,0,['P'],['Pittsburgh Pirates']
1985,Rick Sutcliffe,20,390,12,23,1,['P'],['Chicago Cubs']
1985,Rickey Henderson,141,3655,439,7,9,['OF'],['New York Yankees']
1985,Robin Yount,110,2833,267,5,8,"['OF', '1B']",['Milwaukee Brewers']
1985,Rod Carew,116,2967,1055,65,7,['1B'],['California Angels']
1985,Roger Clemens,15,295,12,9,0,['P'],['Boston Red Sox']
1985,Rollie Fingers,47,166,7,10,0,['P'],['Milwaukee Brewers']
1985,Ron Cey,140,3556,75,273,21,['3B'],['Chicago Cubs']
1985,Ron Davis,57,194,3,5,0,['P'],['Minnesota Twins']
1985,Roy Smalley,64,1351,70,133,3,"['1B', '3B', 'SS']",['Minnesota Twins']
1985,Roy Thomas,40,281,7,7,0,['P'],['Seattle Mariners']
1985,Rusty Staub,1,21,1,0,0,['OF'],['New York Mets']
1985,Ryne Sandberg,154,4006,353,501,12,"['2B', 'SS']",['Chicago Cubs']
1985,Scott Sanderson,19,363,11,21,0,['P'],['Chicago Cubs']
1985,Shawon Dunston,73,1799,144,248,17,['SS'],['Chicago Cubs']
1985,Steve Carlton,16,276,3,18,0,['P'],['Philadelphia Phillies']
1985,Steve Garvey,162,4255,1442,92,5,['1B'],['San Diego Padres']
1985,Steve Ontiveros,39,224,7,14,1,['P'],['Oakland Athletics']
1985,Ted Simmons,45,1070,291,26,3,"['C', '1B', '3B']",['Milwaukee Brewers']
1985,Terry Forster,46,178,2,7,1,['P'],['Atlanta Braves']
1985,Tim Foli,13,225,16,34,1,['SS'],['Pittsburgh Pirates']
1985,Tim Raines,146,3875,284,8,2,['OF'],['Montreal Expos']
1985,Tim Wallach,154,4045,148,383,18,['3B'],['Montreal Expos']
1985,Toby Harrah,124,3071,212,351,6,"['2B', 'SS']",['Texas Rangers']
1985,Tom Gorman,34,158,3,14,0,['P'],['New York Mets']
1985,Tom Paciorek,66,1216,152,9,1,"['OF', '1B']","['Chicago White Sox', 'New York Mets']"
1985,Tom Seaver,35,716,20,43,2,['P'],['Chicago White Sox']
1985,Tommy John,23,259,8,22,0,['P'],"['California Angels', 'Oakland Athletics']"
1985,Tony Armas,79,1962,173,3,3,['OF'],['Boston Red Sox']
1985,Tony Fernandez,160,4248,283,478,30,['SS'],['Toronto Blue Jays']
1985,Tony Gwynn,152,4003,337,14,4,['OF'],['San Diego Padres']
1985,Tony Pena,147,3806,925,102,12,"['C', '1B']",['Pittsburgh Pirates']
1985,Tony Perez,50,1108,340,22,2,['1B'],['Cincinnati Reds']
1985,Tony Phillips,55,1084,54,103,3,"['2B', '3B']",['Oakland Athletics']
1985,Vida Blue,33,393,7,21,2,['P'],['San Francisco Giants']
1985,Wade Boggs,161,4252,134,335,17,['3B'],['Boston Red Sox']
1985,Willie McGee,149,3873,382,11,9,['OF'],['St. Louis Cardinals']
1985,Willie Randolph,143,3768,303,425,11,['2B'],['New York Yankees']
1985,Willie Wilson,140,3734,378,4,2,['OF'],['Kansas City Royals']
1986,Alan Ashby,103,2262,632,43,10,['C'],['Houston Astros']
1986,Alan Trammell,149,3834,238,445,22,['SS'],['Detroit Tigers']
1986,Alfredo Griffin,162,4275,282,421,25,['SS'],['Oakland Athletics']
1986,Andre Dawson,127,3258,200,11,3,['OF'],['Montreal Expos']
1986,Andres Galarraga,102,2322,805,40,4,['1B'],['Montreal Expos']
1986,Barry Bonds,110,2836,280,9,5,['OF'],['Pittsburgh Pirates']
1986,Barry Larkin,39,975,51,125,4,"['2B', 'SS']",['Cincinnati Reds']
1986,Ben Oglivie,50,1138,105,4,1,['OF'],['Milwaukee Brewers']
1986,Benito Santiago,17,413,80,7,5,['C'],['San Diego Padres']
1986,Bert Blyleven,36,815,15,31,0,['P'],['Minnesota Twins']
1986,Bill Buckner,138,3575,1067,157,14,['1B'],['Boston Red Sox']
1986,Bill Russell,89,1412,103,84,5,"['OF', '2B', '3B', 'SS']",['Los Angeles Dodgers']
1986,Bill Swift,29,346,13,21,1,['P'],['Seattle Mariners']
1986,Bob Boone,144,3559,812,84,11,['C'],['California Angels']
1986,Bob Forsch,33,690,17,32,0,['P'],['St. Louis Cardinals']
1986,Bob Gibson,11,80,4,1,0,['P'],['Milwaukee Brewers']
1986,Bob Jones,11,177,29,1,1,"['OF', '1B']",['Texas Rangers']
1986,Bob McClure,65,236,2,12,1,['P'],"['Montreal Expos', 'Milwaukee Brewers']"
1986,Bob Welch,33,707,21,26,2,['P'],['Los Angeles Dodgers']
1986,Bobby Bonilla,132,3037,451,38,5,"['OF', '1B', '3B']","['Chicago White Sox', 'Pittsburgh Pirates']"
1986,Bobby Grich,100,2281,202,231,7,"['2B', '1B', '3B']",['California Angels']
1986,Bobby Witt,31,473,8,20,3,['P'],['Texas Rangers']
1986,Bret Saberhagen,30,468,14,26,2,['P'],['Kansas City Royals']
1986,Brett Butler,159,3986,434,9,3,['OF'],['Cleveland Indians']
1986,Brian Giles,8,97,15,11,0,"['2B', 'SS']",['Chicago White Sox']
1986,Buck Martinez,78,1253,289,19,2,['C'],['Toronto Blue Jays']
1986,Buddy Bell,152,4034,105,291,10,"['2B', '3B']",['Cincinnati Reds']
1986,Cal Ripken,162,4310,240,482,13,['SS'],['Baltimore Orioles']
1986,Carlton Fisk,102,2470,455,44,8,"['C', 'OF']",['Chicago White Sox']
1986,Cecil Cooper,90,2402,697,61,9,['1B'],['Milwaukee Brewers']
1986,Cesar Cedeno,31,533,33,1,2,['OF'],['Los Angeles Dodgers']
1986,Charlie Hough,33,691,20,32,1,['P'],['Texas Rangers']
1986,Chet Lemon,124,3005,316,6,5,['OF'],['Detroit Tigers']
1986,Chris Chambliss,20,385,141,6,1,['1B'],['Atlanta Braves']
1986,Chris Speier,83,1151,62,106,3,"['2B', '3B', 'SS']",['Chicago Cubs']
1986,Chuck Finley,25,139,8,8,0,['P'],['California Angels']
1986,Claudell Washington,77,1578,110,1,3,['OF'],"['New York Yankees', 'Atlanta Braves']"
1986,Dale Murphy,159,4173,303,6,6,['OF'],['Atlanta Braves']
1986,Dan Plesac,51,273,1,11,0,['P'],['Milwaukee Brewers']
1986,Danny Darwin,39,554,10,27,3,['P'],"['Houston Astros', 'Milwaukee Brewers']"
1986,Darrell Evans,107,2625,809,109,2,"['1B', '3B']",['Detroit Tigers']
1986,Darrell Porter,25,601,165,9,1,['C'],['Texas Rangers']
1986,Darryl Strawberry,131,3449,226,10,6,['OF'],['New York Mets']
